pathway,compartment,13C_mfa_reaction,reaction_ids,13C_mfa_flux,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Forward Flux,Backward Flux,Stdev,pFBA Flux
anaplerotic,cytosol,PYRcyt + CO2 + ATP == OAAcyt,PC,11.3153,7.7369,57.353,[],[],12.6572,22.23147671039464
anaplerotic,cytosol,OAAcyt + ATP == PEP + CO2,PPCK,0.0002,0.0,43.2046,[],[],11.0216,0.0
acetate_metabolism ,cytosol,PYRcyt == AA + CO2,PYRDC,32.1152,0.0007,45.0934,[],[],11.5032,0.0
acetate_metabolism ,cytosol,AA + NADH == ETOH,reverse_ALCD2x,16.8499,0.0,17.2583,78.5053,61.6554,4.4026,0.0
acetate_metabolism ,cytosol,AA == AC + NADH,ALDD2y,12.9415,0.0,24.8171,15.2655,[],6.3309,0.0
acetate_metabolism ,cytosol,AC + ATP == ACCOAcyt,ACS or reverse_ACOAH,15.6025,0.3622,42.3609,23.4192,7.8167,10.714,0.0
transport,extracellular,ETOH == ETOH_EX,rETOHt or reverse_ETOHt,16.8499,0.0,17.2583,[],[],4.4026,0.0
transport,extracellular,AC == AC_EX,reverse_ACt2r,0.0003,0.0,2.5441,[],[],0.649,0.0
transport,mitochondria,OAAmit == OAAcyt,reverse_OAAt2m,-6.0,-15.8895,4.5259,0,5.6302,5.208,-7.836907809585866
glyoxylate_shunt,cytosol,ICTcyt == GLYOXYcyt + SUCcyt,ICL,8.0758,4.8744,19.4815,[],[],3.7263,1.5582716905360776
transport,mitochondria,SUCcyt == SUCmit,SUCCtm,8.0758,4.8744,19.4815,[],[],3.7263,0.0
tca_cycle,cytosol,MALcyt == OAAcyt + NADH,MDH,3.7764,0.0,13.96,[],[],3.5612,0.0
transport,mitochondria,MALcyt == MALmit,MALtm or reverse_CITtam or reverse_DICtm,0.0062,0.0,13.8019,[],[],3.5209,4.222828212168099
transport,extracellular,CO2 == CO2_EX,reverse_CO2t,99.9686,73.0609,100.0,[],[],6.8722,167.9059082271106
biomass_formation,cytosol,0.459*ALA+0.161*ARG+0.102*ASN+0.42*ASP+0.007*CYS+0.105*GLN+0.302*GLU+0.398*GLY+0.066*HIS+0.193*ILE+0.296*LEU+0.286*LYS+0.051*MET+0.134*PHE+0.165*PRO+0.185*SER+0.191*THR+0.028*TRP+0.102*TYR+0.265*VAL+1.7*G6P+0.808*F6P+0.4623*ACCOAcyt+0.231*P5P+0.216*MTHF == Biomass,biomass_C,4.6463,4.6313,6.5955,[],[],0.5011,11.398166174414104
energy_metabolism,extracellular,ATP == ATP_EX,ATPM,99.9979,54.569,100.0,[],[],11.5895,0.0
