reaction_id,reaction_name,full_reaction,oleic_acid_pfba_flux,oleic_acid_pfba_LB,oleic_acid_pfba_UB,oleic_acid_1_eflux2_flux,oleic_acid_1_trans_LB,oleic_acid_1_trans_UB,oleic_acid_1_eflux2_LB,oleic_acid_1_eflux2_UB,oleic_acid_2_eflux2_flux,oleic_acid_2_trans_LB,oleic_acid_2_trans_UB,oleic_acid_2_eflux2_LB,oleic_acid_2_eflux2_UB,oleic_acid_3_eflux2_flux,oleic_acid_3_trans_LB,oleic_acid_3_trans_UB,oleic_acid_3_eflux2_LB,oleic_acid_3_eflux2_UB
H2Otp,H2O transport peroxisomal,h2o[c] <=> h2o[x],893.0308732687099,282.82692373026,1071.32431527861,282.92165044999945,-inf,inf,282.8269237303188,1071.3243152958248,282.92165045001275,-inf,inf,282.8269237304784,1071.3243152968491,282.9216504500251,-inf,inf,282.8269237304091,1071.3243152946686
MDHp,malate dehydrogenase peroxisomal,mal_L[x] + nad[x] <=> h[x] + nadh[x] + oaa[x],-753.71311575095,-783.60637267914,-753.0614327964901,-754.4577345333739,-41207.14874467795,41207.14874467795,-783.6063726810255,-753.6481602358015,-754.4577345333029,-106055.51109575143,106055.51109575143,-783.6063726817118,-753.6481602356895,-754.4577345334448,-71622.65221412077,71622.65221412077,-783.6063726806548,-753.6481602356605
EX_co2(e),CO2 exchange,co2[e] --> ,707.34760771178,681.12331765582,735.67730250865,724.9251463000792,-0.0,42053.68951460699,681.1233176564459,735.6773025086579,724.9251463000494,-0.0,96567.73147803453,681.123317655893,735.6773025094934,724.92514630012,-0.0,66854.58333095693,681.123317655816,735.6773025075155
CO2t,CO2 transporter via diffusion,co2[e] <=> co2[c],-707.34760771178,-735.67730250691,-681.1233176571,-724.9251463000792,-inf,inf,-735.6773025081533,-681.1233176561936,-724.9251463000494,-inf,inf,-735.6773025100728,-681.1233176556032,-724.92514630012,-inf,inf,-735.6773025077159,-681.1233176561502
ACONT,aconitase,cit[c] <=> icit[c],693.53605299745,-9313.23766923653,10000.0,696.8574459867475,-32934.346943364464,32934.346943364464,-4119.020389678659,5349.864610390677,696.8574459867303,-101082.27292463265,101082.27292463265,-10995.935632481489,12226.779853195285,696.8574459868339,-56841.77238547951,56841.77238547951,-7395.444905758231,8626.289126472742
NADH2_u6cm,NADH dehydrogenase cytosolicmitochondrial,h[c] + nadh[c] + q6[m] --> nad[c] + q6h2[m],686.07206153856,0.0,1301.23567435006,317.9029918171214,0.0,44757.74175039621,0.0,1301.235674357386,317.9029918170477,0.0,107497.26732671846,0.0,1301.235674356184,317.90299181714704,0.0,72709.70773908214,0.0,1301.2356743581827
FUMm,fumarase mitochondrial,fum[m] + h2o[m] <=> mal_L[m],675.2669723049,0.0,734.89023216303,678.8822606566416,-24177.927712632994,24177.927712632994,0.0,734.8902321626279,678.8822606566404,-59351.493443714804,59351.493443714804,0.0,734.8902321653023,678.8822606566819,-37902.53747365272,37902.53747365272,0.0,734.8902321595061
SUCD2_u6m,succinate dehydrogenase ubiquinone 6 mitochondrial,q6[m] + succ[m] --> fum[m] + q6h2[m],675.2669723049,0.0,734.89023216487,678.8822606566416,0.0,3585.9181049105377,0.0,734.890232164226,678.8822606566404,0.0,8320.275744147455,0.0,734.8902321589288,678.8822606566819,0.0,6182.711866446897,0.0,734.8902321621135
DICtm,dicarboxylate transport mitochondrial,mal_L[m] + succ[c] --> mal_L[c] + succ[m],675.2669723049,0.0,734.89023216397,678.8822606566416,0.0,1616.1232880463465,0.0,734.890232162754,678.8822606566404,0.0,5279.357879904148,0.0,734.8902321625019,678.8822606566819,0.0,3227.7392832186006,0.0,734.8902321621135
NADH2_u6m,NADH dehydrogenase mitochondrial,h[m] + nadh[m] + q6[m] --> nad[m] + q6h2[m],556.64065673902,0.0,1301.23567435297,961.1227886744232,0.0,44757.74175039621,0.0,1301.2356743571336,961.122788674315,0.0,107497.26732671846,0.0,1301.2356743552182,961.1227886744877,0.0,72709.70773908214,0.0,1301.235674354372
CSp,citrate synthase,accoa[x] + h2o[x] + oaa[x] --> cit[x] + coa[x] + h[x],501.1397760436,94.27564124342,619.8520655369,94.30721681666648,0.0,103405.39661057197,94.2756412434396,619.8520655491568,94.30721681663871,0.0,247959.8611480936,94.2756412434928,619.8520655503426,94.3072168166973,0.0,163008.85635253906,94.27564124349198,619.8520655417586
CITtap,citratemalate antiport into peroxisome,cit[x] + mal_L[c] <=> cit[c] + mal_L[x],501.1397760436,94.27564124342,619.8520655362701,94.30721681666648,-inf,inf,94.27564124339754,619.8520655505446,94.30721681663871,-inf,inf,94.2756412434928,619.8520655507289,94.3072168166973,-inf,inf,94.27564124349198,619.8520655488452
ALATA_L,L alanine transaminase,akg[c] + ala_L[c] <=> glu_L[c] + pyr[c],-460.61373728957,-578.2930317416001,-435.88839253038003,-453.20382742369594,-6416.131409243588,6416.131409243588,-578.2930317539876,-435.88839252871617,-453.20382742373016,-21105.843391839226,21105.843391839226,-578.293031752916,-435.88839252926823,-453.20382742375307,-10140.503199639546,10140.503199639546,-578.2930317509297,-435.88839252963766
MLTHFtm,5 10 Methylenetetrahydrofolate transport diffusion mitochondrial,mlthf[c] <=> mlthf[m],-450.16077206195,-7731.38063525661,-425.70643261180004,-442.91901942610656,-inf,inf,-4831.164390532512,-425.70643261083865,-442.9190194260329,-inf,inf,-12607.296543243865,-425.7064326120974,-442.9190194261657,-inf,inf,-8496.779628576762,-425.70643261267327
THFtm,Tetrahydrofolate transport diffusion mitochondrial,thf[c] <=> thf[m],449.96990940517003,425.52051829254,7731.33932095747,442.91901942610656,-inf,inf,425.52051828992364,4831.159623498984,442.9190194260329,-inf,inf,425.5205182935731,12607.29177620928,442.9190194261657,-inf,inf,425.5205182914228,8496.774861543256
ICL,Isocitrate lyase,icit[c] --> glx[c] + succ[c],449.63725112742,437.71708390336994,567.60112379319,442.40392039180017,0.0,150208.62981895867,437.71708390407,567.6011237894288,442.40392039180256,0.0,404651.62792166724,437.71708390227735,567.6011237987656,442.4039203918535,0.0,239360.8017914917,437.7170839035607,567.6011237924691
AGT,alanine glyoxylate transaminase,ala_L[c] + glx[c] <=> gly[c] + pyr[c],449.63725112742,437.71708390383,567.6011237800001,442.40392039180017,-5580.104061693201,5580.104061693201,437.71708390339717,567.6011237924146,442.40392039180256,-8656.331449691015,8656.331449691015,437.7170839038224,567.6011237913299,442.4039203918535,-7255.7279289087555,7255.7279289087555,437.71708390329326,567.6011237927365
GHMT2r,glycine hydroxymethyltransferase reversible,ser_L[c] + thf[c] <=> gly[c] + h2o[c] + mlthf[c],-438.37660854266,-7719.90198990856,-426.74838660604,-431.32442817193095,-4800.849194987533,4800.849194987533,-4800.849194987533,-426.7483866054638,-431.32442817195425,-12576.981347699219,12576.981347699219,-12576.981347699219,-426.7483866059708,-431.32442817197386,-8466.464433032384,8466.464433032384,-8466.464433032384,-426.7483866052989
CRNCARtm,carnithine acetylcarnithine carrier mitochondrial,acrn[c] + crn[m] --> acrn[m] + crn[c],346.78747917621996,0.0,804.7503400588901,754.4577345333739,0.0,14957.656286555413,0.0,804.7503400512932,754.4577345333029,0.0,44570.836463686835,0.0,804.7503400530898,754.4577345334448,0.0,25421.45531159637,0.0,804.7503400519541
CRNCARtp,carnitine acetylcarnitine carrier peroxisomal,acrn[x] + crn[c] --> acrn[c] + crn[x],346.78747917621996,0.0,765.9896786843101,754.4577345333739,0.0,inf,0.0,765.9896786793763,754.4577345333029,0.0,inf,0.0,765.9896786807097,754.4577345334448,0.0,inf,0.0,765.9896786792563
CSNATifm,carnitine O aceyltransferase forward reaction mitochondrial,acrn[m] + coa[m] --> accoa[m] + crn[m],346.78747917621996,229.42523629923,10000.0,754.4577345333739,0.0,4553.9940375367905,229.4252362886368,4553.9940375367905,754.4577345333029,0.0,11134.259439417381,229.42523628568426,11134.259439417381,754.4577345334448,0.0,7372.05490390462,229.42523629380037,7372.05490390462
CSNATirp,carnitine O acetyltransferase reverse direction peroxisomal,accoa[x] + crn[x] --> acrn[x] + coa[x],346.78747917621996,229.42523629923,765.98967867651,754.4577345333739,0.0,55189.57997138962,229.42523628745926,765.9896786793763,754.4577345333029,0.0,142870.99304443732,229.42523628568426,765.9896786802268,754.4577345334448,0.0,85125.27240947414,229.4252362948032,765.9896786779191
CSm,citrate synthase,accoa[m] + h2o[m] + oaa[m] --> cit[m] + coa[m] + h[m],337.71245308255,215.20581142588998,797.18374561809,745.5286987129907,0.0,155040.17820729187,215.20581141547842,797.1837456289741,745.5286987129371,0.0,366021.63829850906,215.20581141376644,797.1837456309851,745.5286987130925,0.0,245064.83484128898,215.20581141492755,797.1837456293282
CITtam,citrate transport mitochondrial,cit[c] + mal_L[m] <=> cit[m] + mal_L[c],-334.82420664675,-797.18374563726,-120.96855730211001,-742.6869156021402,-4594.365579470813,4594.365579470813,-797.1837456346934,-120.96855730978835,-742.6869156021505,-11471.280822275723,11471.280822275723,-797.1837456253841,-120.96855732063617,-742.6869156022165,-7870.79009555356,7870.79009555356,-797.1837456263197,-120.9685573187971
CATp,catalase A peroxisomal,2.0 h2o2[x] --> 2.0 h2o[x] + o2[x],329.74948814104005,292.30029866258,373.31194155774,330.0752588583327,0.0,12008.431040896026,292.3002986603291,373.3119415604997,330.0752588583804,0.0,29591.24995681412,292.3002986601991,373.3119415606655,330.0752588584072,0.0,18970.656565992336,292.3002986616019,373.3119415590645
O2tp,oxygen transport peroxisome,o2[c] <=> o2[x],329.74948814104005,292.30029866276,373.31194155753,330.0752588583327,-inf,inf,292.3002986624738,373.3119415580606,330.0752588583804,-inf,inf,292.30029866135783,373.3119415593135,330.0752588584072,-inf,inf,292.3002986613345,373.31194155939875
MDHm,malate dehydrogenase mitochondrial,mal_L[m] + nad[m] <=> h[m] + nadh[m] + oaa[m],326.24528276169,-630.85037864469,1076.81356904657,734.433793418507,-97340.41350877535,97340.41350877535,-630.850378667711,1076.8135690542506,734.4337934184773,-220845.57350369106,220845.57350369106,-630.8503786632438,1076.813569053094,734.4337934185941,-132462.3286827915,132462.3286827915,-630.8503786709962,1076.8135690547176
GLNS,glutamine synthetase,atp[c] + glu_L[c] + nh4[c] --> adp[c] + gln_L[c] + h[c] + pi[c],314.14539823795,256.52034875837,644.9531003457299,280.3228569274732,0.0,3671.7076315203362,256.5203487601559,644.9531003417145,280.3228569275085,0.0,5068.840225282032,256.52034875646615,644.9531003504014,280.3228569274982,0.0,5184.572937315709,256.520348762031,644.953100337535
GLUSx,glutamate synthase NADH2 ,akg[c] + gln_L[c] + h[c] + nadh[c] --> 2.0 glu_L[c] + nad[c],272.90954604121004,216.35358410956002,604.78633567336,239.75036737776804,0.0,3437.468580923975,216.35358410466097,604.786335687313,239.7503673777551,0.0,15718.329652679682,216.35358410240443,604.7863356955671,239.75036737780565,0.0,6827.1900497573215,216.35358410647015,604.7863356947435
CO2tm,CO2 transport diffusion mitochondrial,co2[c] <=> co2[m],-254.69249111974,-625.35217239432,-227.69518234198,-250.40745155297176,-inf,inf,-625.352172390252,-227.69518234188956,-250.40745155294857,-inf,inf,-625.3521723746985,-227.69518234325994,-250.40745155303782,-inf,inf,-625.3521723762549,-227.69518234307097
HCO3E,HCO3 equilibration reaction,co2[c] + h2o[c] <=> h[c] + hco3[c],250.87195981997,236.01130650476,462.36835349509,246.6483812785582,-inf,inf,236.01130650396522,462.36835351553435,246.64838127855958,-inf,inf,236.01130650389126,462.368353510304,246.6483812785517,-inf,inf,236.01130650307954,462.3683535461251
GLUDy,glutamate dehydrogenase NADP ,glu_L[c] + h2o[c] + nadp[c] <=> akg[c] + h[c] + nadph[c] + nh4[c],-249.91179734553,-422.02531228332,95.5197451391,-274.66033013194203,-90229.55514875046,90229.55514875046,-422.0253122970392,95.51974515186696,-274.6603301318764,-265904.077011342,265904.077011342,-422.02531230643274,95.51974516179872,-274.66033013193214,-160130.09799430802,160130.09799430802,-422.02531229241896,95.51974514713463
ICDHy,isocitrate dehydrogenase NADP ,icit[c] + nadp[c] --> akg[c] + co2[c] + nadph[c],243.89880187004,37.36530859665,263.72305945542,254.45352559494734,0.0,18006.128239469275,37.36530861299348,263.7230594548335,254.45352559492773,0.0,56081.710055868556,37.36530860976929,263.72305945414877,254.45352559498042,0.0,32171.09404468978,37.365308607145245,263.7230594529252
NH4tm,NH3 mitochondrial transport,nh4[c] <=> nh4[m],-226.83074861013,-287.03286014706,-214.55819869362,-223.18171414602568,-inf,inf,-287.03286014572893,-214.5581986935184,-223.18171414598737,-inf,inf,-287.0328601448549,-214.55819869383092,-223.18171414604285,-inf,inf,-287.0328601389995,-214.55819869470966
SSALy,succinate semialdehyde dehydrogenase NADP ,h2o[c] + nadp[c] + sucsal[c] --> 2.0 h[c] + nadph[c] + succ[c],225.62972117748,0.0,243.11426069978,236.47834026484148,0.0,2149.784607986709,0.0,243.11426069873335,236.4783402648378,0.0,3770.004236902468,0.0,243.11426069863327,236.47834026482843,0.0,3206.3458165526945,0.0,243.1142606976592
GLUDC,Glutamate Decarboxylase,glu_L[c] + h[c] --> 4abut[c] + co2[c],225.62972117748,0.0,243.11426069623,236.47834026484148,0.0,4969.484489941107,0.0,243.11426069751374,236.4783402648378,0.0,9835.423451037817,0.0,243.11426069863327,236.47834026482843,0.0,7003.017603917739,0.0,243.11426069832777
ABTA,4 aminobutyrate transaminase,4abut[c] + akg[c] --> glu_L[c] + sucsal[c],225.62972117748,0.0,243.11426069708,236.47834026484148,0.0,5360.583802426952,0.0,243.1142606980184,236.4783402648378,0.0,9777.482812150996,0.0,243.11426069834357,236.47834026482843,0.0,6978.949953918594,0.0,243.11426069759236
GLYCLm,glycine cleavage system mitochondrial,gly[m] + nad[m] + thf[m] --> co2[m] + mlthf[m] + nadh[m] + nh4[m],225.08038603096998,0.0,285.32787774887004,221.4595097130323,0.0,9456.192624254527,0.0,285.32787775405524,221.45950971306473,0.0,14229.255233288388,0.0,285.3278777542239,221.45950971308284,0.0,13064.722674535602,0.0,285.32787775350124
GHMT2rm,glycine hydroxymethyltransferase reversible mitochondrial,ser_L[m] + thf[m] <=> gly[m] + h2o[m] + mlthf[m],225.08038603096998,212.85321630626999,7512.13572063412,221.4595097130323,-4800.849194987533,4800.849194987533,212.8532163052511,4593.082925713319,221.45950971306473,-12576.981347699219,12576.981347699219,212.85321630580725,12369.215078424873,221.45950971308284,-8466.464433032384,8466.464433032384,212.85321630506638,8258.698163758174
SERt2m,serine mitochondrial transport via proton symport,h[c] + ser_L[c] <=> h[m] + ser_L[m],225.08038603096998,212.85321630623,7512.13572063454,221.4595097130323,-inf,inf,212.85321630567162,4593.0829257132345,221.45950971306473,-inf,inf,212.85321630580725,12369.215078424873,221.45950971308284,-inf,inf,212.8532163060692,8258.698163757972
PPA,inorganic diphosphatase,h2o[c] + ppi[c] --> h[c] + 2.0 pi[c],205.62120038126,200.27645791327998,364.27322994579004,203.9220683072764,0.0,40961.55519791264,200.27645791291542,364.2732299639186,203.92206830725186,0.0,66372.9331994827,200.27645791291394,364.27322995980126,203.92206830728216,0.0,60984.75091449891,200.2764579128843,364.27322996556035
NH4tp,ammonia peroxisomal transport,nh4[c] <=> nh4[x],-203.46281828737,-262.74396044439004,-0.0,0.0,-inf,inf,-262.743960450871,-0.0,0.0,-inf,inf,-262.7439604504272,-0.0,0.0,-inf,inf,-262.74396044953033,-0.0
HCYSt2p,Homocysteine peroxisomal transport via proton symport,h[c] + hcys_L[c] <=> h[x] + hcys_L[x],-203.46281828737,-262.74396044384,-0.0,0.0,-inf,inf,-262.74396045011406,-0.0,0.0,-inf,inf,-262.7439604485924,-0.0,0.0,-inf,inf,-262.74396045875625,-0.0
PYRt2p,pyruvate peroxisomal transport via proton symport,h[c] + pyr[c] <=> h[x] + pyr[x],-203.46281828737,-262.74396044463,-0.0,0.0,-inf,inf,-262.7439604499458,-0.0,0.0,-inf,inf,-262.74396044907525,-0.0,0.0,-inf,inf,-262.7439604499983,-0.0
CYSTtp,cystathione peroxisomal transport,cyst_L[c] <=> cyst_L[x],203.46281828737,0.0,262.74396044402,0.0,-inf,inf,0.0,262.7439604503243,0.0,-inf,inf,0.0,262.74396045197227,0.0,-inf,inf,0.0,262.74396044785897
CYSTS,cystathionine beta synthase,hcys_L[c] + ser_L[c] --> cyst_L[c] + h2o[c],203.46281828737,0.0,262.74396044402,0.0,0.0,4684.781011927219,0.0,262.7439604503243,0.0,0.0,9408.594077904905,0.0,262.74396045197227,0.0,0.0,7331.273608072736,0.0,262.74396044785897
CYSTLp,cystathione b lyase peroxisomal,cyst_L[x] + h2o[x] --> hcys_L[x] + nh4[x] + pyr[x],203.46281828737,0.0,262.74396044422,0.0,0.0,8039.824361402564,0.0,262.7439604503243,0.0,0.0,15814.897384157715,0.0,262.74396045197227,0.0,0.0,12423.587220391726,0.0,262.74396044785897
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],185.15812506654,172.00117952816998,398.35822652868,181.99168736359155,0.0,15085.07896578467,172.0011795280923,398.35822654142765,181.99168736359968,0.0,32831.097347902185,172.00117952813596,398.35822654111536,181.99168736365647,0.0,22874.29568668691,172.00117952842896,398.3582265350388
ATPCitL,ATP Citrate Lyase YL,atp[c] + cit[c] + coa[c] --> accoa[c] + adp[c] + oaa[c] + pi[c],142.42792969290002,58.04012840699001,269.12077646724003,140.13668643210124,0.0,6638.59542677586,58.040128399653085,269.1207764768696,140.13668643205895,0.0,15747.29997212309,58.04012839804191,269.120776479558,140.13668643207978,0.0,8852.215378852006,58.04012839805055,269.1207764793232
PPCK,phosphoenolpyruvate carboxykinase,atp[c] + oaa[c] --> adp[c] + co2[c] + pep[c],140.00372519145,136.37396539421,297.76434773864,137.75148019622387,0.0,70637.58227768536,136.3739653941813,297.7643477345687,137.75148019616634,0.0,281252.5522524608,136.37396539449534,297.76434772633274,137.75148019618683,0.0,138167.03027842205,136.37396539439678,297.7643477275507
ENO,enolase,2pg[c] <=> h2o[c] + pep[c],-135.13306285024998,-196.18573358776,-131.62958065254,-132.9591723764025,-50053.98340786582,50053.98340786582,-196.18573358780475,-131.629580652575,-132.95917237643604,-103395.07009353158,103395.07009353158,-196.1857335874259,-131.62958065264368,-132.95917237643354,-75729.52926814146,75729.52926814146,-196.18573358725453,-131.62958065292327
PGM,phosphoglycerate mutase,2pg[c] <=> 3pg[c],135.13306285024998,131.62958065271002,196.18573358153998,132.9591723764025,-50900.944714690006,50900.944714690006,131.629580652575,196.18573358776268,132.95917237643604,-107947.27295540611,107947.27295540611,131.62958065302996,196.18573358501172,132.95917237643354,-75550.35898481449,75550.35898481449,131.629580652589,196.18573358832418
GAPD,glyceraldehyde 3 phosphate dehydrogenase,g3p[c] + nad[c] + pi[c] <=> 13dpg[c] + h[c] + nadh[c],-135.13306285024998,-196.1857335817,-131.62958065269,-132.9591723764025,-125516.38548356204,125516.38548356204,-196.18573358776268,-131.629580652575,-132.95917237643604,-273249.0186675613,273249.0186675613,-196.18573358752246,-131.62958065264368,-132.95917237643354,-195802.36656804004,195802.36656804004,-196.18573358738823,-131.62958065265585
PGK,phosphoglycerate kinase,3pg[c] + atp[c] <=> 13dpg[c] + adp[c],135.13306285024998,131.62958065271002,196.18573358153998,132.9591723764025,-23618.613642088723,23618.613642088723,131.629580652575,196.18573358776268,132.95917237643604,-49714.033842206954,49714.033842206954,131.62958065264368,196.1857335881019,132.95917237643354,-36146.26756954848,36146.26756954848,131.629580652589,196.18573358832418
NH4t,ammonia reversible transport,nh4[e] <=> nh4[c],134.52090831418,131.03329693657,184.83009104635,132.35686559252954,-41122.62082875359,41122.62082875359,131.0332969367653,184.8300910486998,132.35686559251295,-141501.66261207877,141501.66261207877,131.0332969369973,184.83009104876857,132.3568655924955,-77291.92088058591,77291.92088058591,131.0332969370539,184.83009104881833
EX_nh4_e,Ammonia exchange,nh4[e] <=> ,-134.52090831418,-184.83009104966,-131.03329693602998,-132.35686559252954,-420536.8951460699,42053.68951460699,-184.83009105202206,-131.03329693600836,-132.35686559251295,-965677.3147803453,96567.73147803453,-184.83009104992735,-131.03329693661098,-132.3568655924955,-668545.8333095693,66854.58333095693,-184.83009104921945,-131.03329693758874
ADK1,adenylate kinase,amp[c] + atp[c] --> 2.0 adp[c],128.61736627577,0.0,289.2658100301,128.15699766855028,0.0,35053.01182111036,0.0,289.2658100374975,128.1569976684942,0.0,107102.30530497331,0.0,289.26581001932334,128.15699766856528,0.0,56831.74419797987,0.0,289.2658100303231
OCDCEAt,Octadecenoate n C181 transport in via uniport,ocdcea[e] --> ocdcea[c],100.0,100.0,100.0,100.0,0.0,inf,100.0,100.0,100.0,0.0,inf,100.0,100.0,100.0,0.0,inf,100.0,100.0
FACOAL181,fatty acid CoA ligase octadecenoate ,atp[c] + coa[c] + ocdcea[c] --> amp[c] + odecoa[c] + ppi[c],100.0,100.0,128.34287988296,100.0,0.0,30371.595104344313,100.0,128.34287988580488,100.0,0.0,67097.19118556796,100.0,128.3428798858766,100.0,0.0,45881.63199420243,100.0,128.34287988591055
EX_ocdcea_e,octadecenoate n C181 exchange,ocdcea[e] <=> ,-100.0,-100.0,-100.0,-100.0,-42053.68951460699,42053.68951460699,-100.0,-100.0,-100.0,-96567.73147803453,96567.73147803453,-100.0,-100.0,-100.0,-66854.58333095693,66854.58333095693,-100.0,-100.0
PIt2p,phosphate peroxisomal transport via proton symport,h[c] + pi[c] <=> h[x] + pi[x],-94.21413946887,-99.07638525149,-94.13267909959,-94.30721681666648,-inf,inf,-99.07638525134188,-94.2060200294489,-94.30721681663871,-inf,inf,-99.07638525153297,-94.20602002944912,-94.3072168166973,-inf,inf,-99.07638525124314,-94.2060200295077
FAO181p_odd,Fatty acid oxidation,8.0 coa[x] + 8.0 h2o[x] + 8.0 nad[x] + 7.0 o2[x] + odecoa[x] --> 9.0 accoa[x] + 7.0 h2o2[x] + 8.0 h[x] + 8.0 nadh[x],94.21413946887,8.28927407652,97.78908564749999,94.30721681666648,0.0,inf,8.28927406740286,97.7890856479072,94.30721681663871,0.0,inf,8.289274067042527,97.78908564791232,94.3072168166973,0.0,inf,8.289274067444886,97.78908564789715
