reaction_id,reaction_name,full_reaction,Glycerol MFA-Constrained GSM flux,Glycerol MFA-Constrained GSM LB,Glycerol MFA-Constrained GSM UB
ACACT1m,acetyl CoA C acetyltransferase mitochondrial,2.0 accoa[m] <=> aacoa[m] + coa[m],0.0,0.0,-0.0
ACACT4p,acetyl CoA C acetyltransferase octanoyl CoA peroxisomal,3odcoa[x] + coa[x] --> accoa[x] + occoa[x],0.0,0.0,0.189732783194
ACACT5p,acetyl CoA C acyltransferase decanoyl CoA peroxisomal,3oddcoa[x] + coa[x] --> accoa[x] + dcacoa[x],0.0,0.0,0.189732783194
ACACT6p,acetyl CoA C acetyltransferase dodecanoyl peroxisomal,3otdcoa[x] + coa[x] --> accoa[x] + ddcacoa[x],0.0,0.0,0.189732783194
ACACT7p,acetyl CoA acyltransferase tetradecanoyl CoA peroxisomal,3ohdcoa[x] + coa[x] --> accoa[x] + tdcoa[x],0.0,0.0,0.163769349704
ACACT8p,acetyl CoA acyltransferase hexadecanoyl CoA peroxisomal,3ohodcoa[x] + coa[x] --> accoa[x] + pmtcoa[x],0.0,0.0,0.144056372425
ACACT9p,acetyl CoA acyltransferase tetracosanoyl CoA peroxisomal,3ohxccoa[x] + coa[x] --> accoa[x] + ttccoa[x],0.0,0.0,-0.0
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],14.329434813049,10.484008693257,21.46476493651
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa[c] + gam6p[c] <=> acgam6p[c] + coa[c] + h[c],3.233912917643,3.215690875526,3.233912917645
ACGAMPM,phosphoacetylglucosamine mutase,acgam6p[c] <=> acgam1p[c],3.233912917643,3.215690875526,3.233912917645
ACGKm,acetylglutamate kinase mitochondrial,acglu[m] + atp[m] --> acg5p[m] + adp[m],0.631583806335,0.628025038053,4.190294301644
ACGSm,N acteylglutamate synthase mitochondrial,accoa[m] + glu_L[m] --> acglu[m] + coa[m] + h[m],0.0,0.0,-0.0
ACOTAim,acteylornithine transaminase irreversible mitochondrial,acg5sa[m] + glu_L[m] --> acorn[m] + akg[m],0.631583806335,0.628025038053,4.190294301578
AGPRim,N acetyl g glutamyl phosphate reductase irreversible mitochondrial,acg5p[m] + h[m] + nadph[m] --> acg5sa[m] + nadp[m] + pi[m],0.631583806335,0.628025038053,4.190294301578
ACOAH,acetyl CoA hydrolase,accoa[c] + h2o[c] --> ac[c] + coa[c] + h[c],0.0,0.0,-0.0
ACOAO4p,acyl CoA oxidase decanoyl CoA peroxisomal,dcacoa[x] + o2[x] --> dc2coa[x] + h2o2[x],0.0,0.0,0.189732783189
ACOAO5p,acyl CoA oxidase dodecanoyl CoA peroxisomal,ddcacoa[x] + o2[x] --> dd2coa[x] + h2o2[x],0.0,0.0,0.189732783189
ACOAO6p,acyl CpA oxidase tetradecanoyl CoA peroxisomal,o2[x] + tdcoa[x] --> h2o2[x] + td2coa[x],0.0,0.0,0.189732783189
ACOAO7p,acyl CoA oxidase hexadecanoyl CoA peroxisomal,o2[x] + pmtcoa[x] --> h2o2[x] + hdd2coa[x],0.0,0.0,0.1637693497
ACOAO8p,acyl CoA oxidase octadecanoyl CoA peroxisomal,o2[x] + stcoa[x] --> h2o2[x] + od2coa[x],0.0,0.0,0.144056372422
ACOAO9p,acyl CoA oxidase hexacanoyl CoA peroxisomal,hexccoa[x] + o2[x] --> h2o2[x] + hxc2coa[x],0.0,0.0,-0.0
ACOATA,Acetyl CoA ACP transacylase,ACP[c] + accoa[c] <=> acACP[c] + coa[c],0.0,0.0,-0.0
ACOATAm,Acetyl CoA ACP transacylase,ACP[m] + accoa[m] <=> acACP[m] + coa[m],0.0,0.0,-0.0
ACONT,aconitase,cit[c] <=> icit[c],1000.0,-994.524620312023,1000.0
ACONTm,Aconitate hydratase,cit[m] <=> icit[m],-994.493593511518,-994.524620312023,1000.0
ARGSL,argininosuccinate lyase,argsuc[c] <=> arg_L[c] + fum[c],0.631583806335,0.628025038053,1.600405551804
ACP1e,acid phosphatase extracellular secreted ,fmn[e] + h2o[e] --> pi[e] + ribflv[e],0.0,0.0,-0.0
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,acrn[c] --> acrn[m],0.0,0.0,7.779044110005
ACRNtp,acetylcarnitine transport out of peroxisome,acrn[x] --> acrn[c],0.0,0.0,1.15245097926
ARGSSr,argininosuccinate synthase reversible,asp_L[c] + atp[c] + citr_L[c] <=> amp[c] + argsuc[c] + h[c] + ppi[c],0.631583806335,0.628025038053,1.600405551804
ACSm,acetyl CoA synthetase,ac[m] + atp[m] + coa[m] --> accoa[m] + amp[m] + ppi[m],3.006799829746,0.0,7.689043391202
ACSp,acetyl CoA synthetase,ac[x] + atp[x] + coa[x] --> accoa[x] + amp[x] + ppi[x],0.0,0.0,-0.0
ACt2r,acetate reversible transport via proton symport,ac[e] + h[e] <=> ac[c] + h[c],0.0,-0.45759083,-0.0
ACtm,acetate transport mitochondrial,ac[c] <=> ac[m],0.24075348495,-5.794609197921,6.267671816804
ACtp,acetate transport peroxisomal,ac[c] <=> ac[x],0.0,0.0,-0.0
ADCL,4 aminobenzoate synthase,4adcho[c] --> 4abz[c] + h[c] + pyr[c],0.0,0.0,-0.0
ADCS,4 amino 4 deoxychorismate synthase,chor[c] + gln_L[c] --> 4adcho[c] + glu_L[c],0.0,0.0,-0.0
ADEt2,adenine transport in via proton symport,ade[e] + h[e] --> ade[c] + h[c],0.0,0.0,-0.0
ADEtm,adenine reversible transport mitochondria,ade[c] <=> ade[m],0.0,0.0,-0.0
ADHAPR_SC,acyldihydroxyacetonephosphate reductase yeast specific,0.01 1agly3p_SC[c] + h[c] + nadph[c] --> 0.01 1ag3p_SC[c] + nadp[c],0.0,0.0,0.681433210491
ADK1,adenylate kinase,amp[c] + atp[c] --> 2.0 adp[c],22.47193854716,0.0,30.91222950729
ADK1m,adenylate kinase mitochondrial,amp[m] + atp[m] <=> 2.0 adp[m],3.006799829746,0.0,7.689043391618
ADK3,adentylate kinase GTP ,amp[c] + gtp[c] --> adp[c] + gdp[c],0.0,0.0,30.91222950729
ADK3m,adentylate kinase GTP ,amp[m] + gtp[m] <=> adp[m] + gdp[m],0.0,0.0,-0.0
ADK4,adentylate kinase ITP ,amp[c] + itp[c] --> adp[c] + idp[c],0.0,0.0,30.91222950729
ADK4m,adentylate kinase ITP mitochondrial,amp[m] + itp[m] <=> adp[m] + idp[m],0.0,0.0,-0.0
ADMDC,adenosylmethionine decarboxylase,amet[c] + h[c] --> ametam[c] + co2[c],0.0,0.0,-0.0
ADNCYC,adenylate cyclase,atp[c] --> camp[c] + ppi[c],0.0,0.0,2.917141541579
ADNK1,adenosine kinase,adn[c] + atp[c] --> adp[c] + amp[c] + h[c],0.766630807781,0.0,6.59659417695
ADNUC,adenosine hydrolase,adn[c] + h2o[c] --> ade[c] + rib_D[c],0.0,0.0,5.834283083157
ADNt2,adenosine transport in via proton symport,adn[e] + h[e] --> adn[c] + h[c],0.0,0.0,-0.0
ADPT,adenine phosphoribosyltransferase,ade[c] + prpp[c] --> amp[c] + ppi[c],0.0,0.0,3.298297088475
CBPS,carbamoyl phosphate synthase glutamine hydrolysing ,2.0 atp[c] + gln_L[c] + h2o[c] + hco3[c] --> 2.0 adp[c] + cbp[c] + glu_L[c] + 2.0 h[c] + pi[c],0.941158664761,0.935855543351,1.908236057227
ADSL1r,adenylsuccinate lyase,dcamp[c] <=> amp[c] + fum[c],0.418852117455,0.416492022692,3.333633564261
ADSL2r,adenylosuccinate lyase,25aics[c] <=> aicar[c] + fum[c],17.476021869236,17.037355910285,17.763601679302
ADSS,adenylosuccinate synthase,asp_L[c] + gtp[c] + imp[c] --> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c],0.418852117455,0.41649202269,3.333633564301
G5SADr,L glutamate 5 semialdehyde dehydratase reversible,glu5sa[c] <=> 1pyr5c[c] + h2o[c] + h[c],1.038053447015,1.032204355183,5.699630821762
G5SD2,glutamate 5 semialdehyde dehydrogenase,glu5p[c] + h[c] + nadh[c] --> glu5sa[c] + nad[c] + pi[c],1.038053447015,0.0,5.699630821762
AGT,alanine glyoxylate transaminase,ala_L[c] + glx[c] <=> gly[c] + pyr[c],0.0,-1.296507351827,1.166856616645
AHCYStm,S adenosyl L homocysteine reversible transport mitochondrial,ahcys[c] <=> ahcys[m],0.0,0.0,-0.0
AHCYStn,S adenosyl L homocysteine nuclear transport,ahcys[c] <=> ahcys[n],0.0,0.0,-0.0
AHCi,adenosylhomocysteinase,ahcys[c] + h2o[c] --> adn[c] + hcys_L[c],0.766630807781,0.762311093792,2.707072121533
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,air[c] + 2.0 h[c] --> 4ahmmp[c] + gcald[c] + pi[c],0.0,0.0,-0.0
AHSERL,O acetylhomoserine thiol lyase,achms[c] + ch4s[c] --> ac[c] + h[c] + met_L[c],0.0,0.0,-0.0
GLU5K,glutamate 5 kinase,atp[c] + glu_L[c] --> adp[c] + glu5p[c],1.038053447015,0.0,5.699630821762
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf[c] + aicar[c] <=> fprica[c] + thf[c],17.747044579315,17.306851496001,18.033097265008
AIRCr,phosphoribosylaminoimidazole carboxylase,air[c] + co2[c] <=> 5aizc[c] + h[c],17.476021869236,17.037355910295,17.763601679297
AKGDam,oxoglutarate dehydrogenase lipoamide ,akg[m] + h[m] + lpam[m] <=> co2[m] + sdhlam[m],0.0,0.0,0.729285385387
AKGDbm,oxoglutarate dehydrogenase dihydrolipoamide S succinyltransferase ,coa[m] + sdhlam[m] --> dhlam[m] + succoa[m],0.0,0.0,0.729285385391
AKGMAL,alpha ketoglutaratemalate transporter,akg[e] + mal_L[c] --> akg[c] + mal_L[e],0.0,0.0,-0.0
AKGt2n,2 oxoglutarate nuclear transport via proton symport,akg[c] + h[c] <=> akg[n] + h[n],0.0,0.0,-0.0
AKGt2r,2 oxoglutarate reversible transport via symport,akg[e] + h[e] --> akg[c] + h[c],0.0,0.0,-0.0
AKP1,alkaline phosphatase Dihydroneopterin ,ahdt[c] + 3.0 h2o[c] --> dhnpt[c] + 2.0 h[c] + 3.0 pi[c],0.0,0.0,-0.0
ALASm,5 aminolevulinate synthase,gly[m] + h[m] + succoa[m] --> 5aop[m] + co2[m] + coa[m],0.0,0.0,-0.0
ALATA_L,L alanine transaminase,akg[c] + ala_L[c] <=> glu_L[c] + pyr[c],-2.856740563558,-4.007500380984,-1.01028044416
ALATA_Lm,L alanine transaminase mitochondrial,akg[m] + ala_L[m] <=> glu_L[m] + pyr[m],0.0,0.0,-0.0
ALATRS,Alanyl tRNA synthetase,ala_L[c] + atp[c] + trnaala[c] --> alatrna[c] + amp[c] + ppi[c],0.0,0.0,-0.0
ALAt2r,L alanine reversible transport via proton symport,ala_L[e] + h[e] <=> ala_L[c] + h[c],0.0,-0.338219309167,-0.0
ALCD19y,alcohol dehydrogenase glycerol NADP ,glyald[c] + h[c] + nadph[c] --> glyc[c] + nadp[c],0.0,0.0,-0.0
ALCD2m,alcohol dehydrogenase ethanol mitochondrial,etoh[m] + nad[m] <=> acald[m] + h[m] + nadh[m],2.766046344796,0.0,6.800276884169
ALCD2x,alcohol dehydrogenase ethanol ,etoh[c] + nad[c] <=> acald[c] + h[c] + nadh[c],-2.766046344796,-6.800276884169,-0.0
ALDD19x,aldehyde dehydrogenase phenylacetaldehyde NAD ,h2o[c] + nad[c] + pacald[c] --> 2.0 h[c] + nadh[c] + pac[c],0.0,0.0,-0.0
ALDD20xm,aldehyde dehydrogenase indole 3 acetaldehyde NAD mitochondrial,h2o[m] + id3acald[m] + nad[m] --> 2.0 h[m] + ind3ac[m] + nadh[m],0.0,0.0,-0.0
ALDD20y,aldehyde dehydrogenase indole 3 acetaldehyde NADP ,h2o[c] + id3acald[c] + nadp[c] --> 2.0 h[c] + ind3ac[c] + nadph[c],0.0,0.0,-0.0
ALDD20ym,aldehyde dehydrogenase indole 3 acetaldehyde NADP mitochondrial,h2o[m] + id3acald[m] + nadp[m] --> 2.0 h[m] + ind3ac[m] + nadph[m],0.0,0.0,-0.0
ALDD2xm,aldehyde dehydrogenase acetylaldehyde NAD mitochondrial,acald[m] + h2o[m] + nad[m] --> ac[m] + 2.0 h[m] + nadh[m],0.0,0.0,5.023562415864
ALDD2y,aldehyde dehydrogenase acetaldehyde NADP ,acald[c] + h2o[c] + nad[c] --> ac[c] + 2.0 h[c] + nadh[c],0.0,0.0,6.028274899059
ALDD2ym,aldehyde dehydrogenase acetylaldehyde NADP mitochondrial,acald[m] + h2o[m] + nadp[m] --> ac[m] + 2.0 h[m] + nadph[m],2.766046344796,0.0,6.800276883879
ALLTAHr,Allantoate amidinohydrolase reversible,alltt[c] + h2o[c] <=> urdglyc[c] + urea[c],0.0,0.0,-0.0
ALLTNr,allantoinase reversible reaction,alltn[c] + h2o[c] <=> alltt[c] + h[c],0.0,0.0,-0.0
ALLTNti,allantoin irreversible uniport,alltn[e] --> alltn[c],0.0,0.0,-0.0
ALLTTti,allantoate irreversible uniport,alltt[e] --> alltt[c],0.0,0.0,-0.0
ALPHNH,allophanate hydrolase,allphn[c] + h2o[c] + 3.0 h[c] --> 2.0 co2[c] + 2.0 nh4[c],0.0,0.0,0.83346901179
AM6SAD,aminomuconate semialdehyde dehydrogenase,am6sa[c] + h2o[c] + nad[c] --> amuco[c] + 2.0 h[c] + nadh[c],0.0,0.0,-0.0
AMAOTr,adenosylmethionine 8 amino 7 oxononanoate transaminase,8aonn[c] + amet[c] <=> amob[c] + dann[c],0.0,0.0,-0.0
AMETt2,S adenosyl L methionine transport in via proton symport,amet[e] + h[e] --> amet[c] + h[c],0.0,0.0,-0.0
AMETtm,S Adenosyl L methionine reversible transport mitochondrial,amet[c] <=> amet[m],0.0,0.0,-0.0
AMETtn,S adenosyl L methionine nuclear transport,amet[c] <=> amet[n],0.0,0.0,-0.0
AMID,amidase,4gudbd[c] + h2o[c] --> 4gudbutn[c] + nh4[c],0.0,0.0,-0.0
AMID2,amidase,h2o[c] + pad[c] --> nh4[c] + pac[c],0.0,0.0,-0.0
AMID3,amidase,h2o[c] + iad[c] --> ind3ac[c] + nh4[c],0.0,0.0,-0.0
AMPDA,Adenosine monophosphate deaminase,amp[c] + h2o[c] + h[c] --> imp[c] + nh4[c],0.0,0.0,2.917141541265
AMPN,AMP nucleosidase,amp[c] + h2o[c] --> ade[c] + r5p[c],0.0,0.0,5.83428308253
OCBTi,ornithine carbamoyltransferase irreversible,cbp[c] + orn[c] --> citr_L[c] + h[c] + pi[c],0.631583806335,0.628025038053,1.600405551808
ORNTACim,ornithine transacetylase irreversible mitochondrial,acorn[m] + glu_L[m] --> acglu[m] + orn[m],0.631583806335,0.628025038053,4.190294301308
AP4AHr,Ap4A hydrolase reversible,ap4a[c] + h2o[c] <=> 2.0 adp[c] + 2.0 h[c],0.0,0.0,5.83428308253
APRAUR,5 amino 6 5 phosphoribosylamino uracil reductase,5apru[c] + h[c] + nadph[c] --> 5aprbu[c] + nadp[c],0.0,0.0,-0.0
APRTO2,N acetylputrescine oxygen oxireductase deaminating ,aprut[c] + h2o[c] + o2[c] --> h2o2[c] + n4abutn[c] + nh4[c],0.0,0.0,-0.0
ARAB1D1,D arabinose 1 dehydrogenase NAD ,arab_D[c] + nad[c] --> Dara14lac[c] + h[c] + nadh[c],0.0,0.0,-0.0
ARAB1D2,D arabinose 1 dehydrogenase NADP ,arab_D[c] + nadp[c] --> Dara14lac[c] + h[c] + nadph[c],0.0,0.0,-0.0
ARABR,arabinose reductase,arab_L[c] + h[c] + nadph[c] --> abt[c] + nadp[c],0.0,0.0,-0.0
ARAB_Dt,D arabinose reversible transport,arab_D[e] <=> arab_D[c],0.0,0.0,-0.0
ARAB_Lt,L arabinoase extracellular transport,arab_L[e] <=> arab_L[c],0.0,0.0,-0.0
ARGN,arginase,arg_L[c] + h2o[c] --> orn[c] + urea[c],0.0,0.0,0.972380513755
P5CR,pyrroline 5 carboxylate reductase,1pyr5c[c] + 2.0 h[c] + nadph[c] --> nadp[c] + pro_L[c],1.038053447015,1.032204355183,5.699630821208
biomass_C,biomass yarrowia carbon limiting,0.943396927 13BDglcn[c] + 0.567938715 ala_L[c] + 0.055401294 amp[c] + 0.125562993 arg_L[c] + 0.186498253 asn_L[c] + 0.186531036 asp_L[c] + 23.09 atp[c] + 0.868358429 chitin[c] + 0.057210293 cmp[c] + 0.003631558 cys_L[c] + 0.010069587 damp[c] + 0.010436325 dcmp[c] + 0.009226307 dgmp[c] + 0.010353045 dtmp[c] + 0.035250723 ergst[c] + 0.24386559 gln_L[c] + 0.243904342 glu_L[c] + 0.509942819 gly[c] + 0.050870974 gmp[c] + 23.09 h2o[c] + 0.053881088 his_L[c] + 0.090566203 ile_L[c] + 0.194549622 leu_L[c] + 0.275004895 lys_L[c] + 0.235849232 mannan[c] + 0.04423181 met_L[c] + 5.8e-05 pa_SC[c] + 0.000346485 pc_SC[c] + 0.000236765 pe_SC[c] + 0.082570645 phe_L[c] + 0.206371817 pro_L[c] + 3.5e-05 ps_SC[c] + 7.5e-05 ptd1ino_SC[c] + 0.284698809 ser_L[c] + 0.02 so4[c] + 0.210543282 thr_L[c] + 0.006859892 tre[c] + 0.000234034 triglyc_SC[c] + 0.002154449 trp_L[c] + 0.04128234 tyr_L[c] + 0.059363404 ump[c] + 0.17277308 val_L[c] + 0.003029289 zymst[c] --> 23.09 adp[c] + biomass[c] + 23.09 h[c] + 23.09 pi[c],0.0,0.0,-0.0
biomass_N,biomass yarrowia nitrogen limiting,0.257113988 13BDglcn[c] + 0.09496 ala_L[c] + 0.001432042 amp[c] + 0.018065337 arg_L[c] + 0.026287726 asn_L[c] + 0.026287726 asp_L[c] + 20.31 atp[c] + 0.236682322 chitin[c] + 0.001478116 cmp[c] + 0.000519556 cys_L[c] + 0.016513908 damp[c] + 0.017106666 dcmp[c] + 0.015134716 dgmp[c] + 0.016975477 dtmp[c] + 0.060650767 ergst[c] + 0.032192196 gln_L[c] + 0.032192196 glu_L[c] + 0.082618568 gly[c] + 0.001315238 gmp[c] + 20.31 h2o[c] + 0.007031076 his_L[c] + 0.013733758 ile_L[c] + 0.02888825 leu_L[c] + 0.031527805 lys_L[c] + 0.064278269 mannan[c] + 0.002859543 met_L[c] + 8.468939e-05 pa_SC[c] + 0.00057788053 pc_SC[c] + 0.00057788053 pe_SC[c] + 0.012013414 phe_L[c] + 0.028688078 pro_L[c] + 0.00010959803 ps_SC[c] + 0.00012553956 ptd1ino_SC[c] + 0.046748124 ser_L[c] + 0.02 so4[c] + 0.031790673 thr_L[c] + 0.001869797 tre[c] + 0.00038910587 triglyc_SC[c] + 0.000287711 trp_L[c] + 0.006237863 tyr_L[c] + 0.001533699 ump[c] + 0.025946327 val_L[c] + 0.003484382 zymst[c] --> 20.31 adp[c] + 20.31 h[c] + 20.31 pi[c],0.0,0.0,-0.0
ARGTRS,Arginyl tRNA synthetase,arg_L[c] + atp[c] + trnaarg[c] --> amp[c] + argtrna[c] + ppi[c],0.0,0.0,-0.0
ARGTRSm,Arginyl tRNA synthetase mitochondrial,arg_L[m] + atp[m] + trnaarg[m] --> amp[m] + argtrna[m] + ppi[m],0.0,0.0,-0.0
ARGt2m,arginine mitochondrial transport via proton symport,arg_L[c] + h[c] <=> arg_L[m] + h[m],0.0,0.0,-0.0
ARGt2r,L arganine reversible transport via proton symport,arg_L[e] + h[e] <=> arg_L[c] + h[c],0.0,-0.216084558612,-0.0
ARMT,hnRNP arginine N methyltransferase,amet[c] + his_L[c] --> NPmehis[c] + ahcys[c] + h[c],0.0,0.0,-0.0
CSm,citrate synthase,accoa[m] + h2o[m] + oaa[m] --> cit[m] + coa[m] + h[m],5.506406488482,4.316798650165,15.190815472477
ASNS1,asparagine synthase glutamine hydrolysing ,asp_L[c] + atp[c] + gln_L[c] + h2o[c] --> amp[c] + asn_L[c] + glu_L[c] + h[c] + ppi[c],0.938089111213,0.932803285735,1.347685638322
ASNTRS,Asparaginyl tRNA synthetase,asn_L[c] + atp[c] + trnaasn[c] --> amp[c] + asntrna[c] + ppi[c],0.0,0.0,-0.0
ASNTRSm,asparaginyl tRNA synthetase miotchondrial,asn_L[m] + atp[m] + trnaasn[m] --> amp[m] + asntrna[m] + ppi[m],0.0,0.0,-0.0
ASNt2m,asparagine mitochondrial transport via proton transport,asn_L[c] + h[c] <=> asn_L[m] + h[m],0.0,0.0,-0.0
ASNt2r,L asparagine reversible transport via proton symport,asn_L[e] + h[e] <=> asn_L[c] + h[c],0.0,-0.414882352587,-0.0
ASP1DC,aspartate 1 decarboxylase,asp_L[c] + h[c] --> ala_B[c] + co2[c],0.0,0.0,0.105478564217
ICDHxm,Isocitrate dehydrogenase NAD ,icit[m] + nad[m] --> akg[m] + co2[m] + nadh[m],0.0,0.0,5.678644195888
ASPGLUtp,aspartate glutamate peroxisomal shuttle,asp_L[c] + glu_L[x] <=> asp_L[x] + glu_L[c],0.0,0.0,0.240588993123
ICDHym,Isocitrate dehydrogenase NADP ,icit[m] + nadp[m] --> akg[m] + co2[m] + nadph[m],3.807538691146,0.0,6.1555752751
ASPTA,aspartate transaminase,akg[c] + asp_L[c] <=> glu_L[c] + oaa[c],-28.271337800348,-1000.0,-22.901536783131
ASPTAm,aspartate transaminase,akg[m] + asp_L[m] <=> glu_L[m] + oaa[m],3.055843601406,0.0,977.098463216869
ASPTAp,aspartate transaminase peroxisomal,akg[x] + asp_L[x] <=> glu_L[x] + oaa[x],0.0,0.0,0.240588993123
ASPTRS,Aspartyl tRNA synthetase,asp_L[c] + atp[c] + trnaasp[c] --> amp[c] + asptrna[c] + ppi[c],0.0,0.0,-0.0
ASPTRSm,Aspartyl tRNA synthetase mitochondrial,asp_L[m] + atp[m] + trnaasp[m] --> amp[m] + asptrna[m] + ppi[m],0.0,0.0,-0.0
