reaction_id,reaction_name,full_reaction,glucose_pfba_flux,glucose_pfba_LB,glucose_pfba_UB,glucose_1_eflux2_flux,glucose_1_trans_LB,glucose_1_trans_UB,glucose_1_eflux2_LB,glucose_1_eflux2_UB,glucose_2_eflux2_flux,glucose_2_trans_LB,glucose_2_trans_UB,glucose_2_eflux2_LB,glucose_2_eflux2_UB,glucose_3_eflux2_flux,glucose_3_trans_LB,glucose_3_trans_UB,glucose_3_eflux2_LB,glucose_3_eflux2_UB
EX_o2_e,O2 exchange,o2[e] <=> ,-140.292406637281,-219.625358118723,-103.313111802357,-154.847133399344,-101427.59379219999,10142.759379219999,-219.6253581188419,-149.22675425414974,-153.88864488201096,-167369.73931613972,16736.97393161397,-219.62535811915703,-151.5461033573742,-153.79604920073933,-165328.41447945096,16532.841447945095,-219.62535811844484,-150.1891672472301
O2t,o2 transport diffusion ,o2[e] <=> o2[c],140.292406637281,103.31311180231,219.625358118816,154.847133399344,-inf,inf,149.2267542541903,219.62535811898388,153.88864488201096,-inf,inf,151.54610335775914,219.62535811860468,153.79604920073933,-inf,inf,150.18916724737886,219.62535811864325
CYOOm,cytochrome c oxidase mitochondrial,4.0 focytc[m] + 6.0 h[m] + o2[m] --> 4.0 ficytc[m] + 2.0 h2o[m] + 6.0 h[c],131.117546070847,80.189185891542,212.033827431832,147.07050919638453,0.0,4512.817930596354,115.44963432784155,212.03382743115733,146.22043206641126,0.0,5811.914197752952,118.11656912589189,212.03382743128918,146.06677627560111,0.0,7067.12840533861,116.25861916179002,212.03382743207501
O2tm,O2 transport diffusion ,o2[c] <=> o2[m],131.117546070847,80.189185891792,212.033827431537,147.07050919638453,-inf,inf,115.44963432755755,212.0338274313602,146.22043206641126,-inf,inf,118.11656912644422,212.0338274311553,146.06677627560111,-inf,inf,116.25861916246787,212.03382743152943
PGK,phosphoglycerate kinase,3pg[c] + atp[c] <=> 13dpg[c] + adp[c],-127.343610204589,-158.603187224064,-73.177682642007,-98.55287273962661,-5098.765139933894,5098.765139933894,-99.053238531802,-73.52655626467286,-97.17897920776224,-8842.64543728961,8842.64543728961,-97.38627503648561,-73.51081579001755,-97.95279173511268,-9532.505722056183,9532.505722056183,-98.32515218054432,-73.41844341584039
GAPD,glyceraldehyde 3 phosphate dehydrogenase,g3p[c] + nad[c] + pi[c] <=> 13dpg[c] + h[c] + nadh[c],127.343610204589,73.177682641885,158.603187224071,98.55287273962661,-60793.97544995021,60793.97544995021,73.52655626452072,99.05323853181214,97.17897920776224,-108121.68844692284,108121.68844692284,73.51081579003427,97.38627503678687,97.95279173511268,-100269.86476922773,100269.86476922773,73.41844341721261,98.32515218067658
ENO,enolase,2pg[c] <=> h2o[c] + pep[c],118.424532872716,-69.073630849201,158.603187224051,91.51445166982732,-16641.225313486255,16641.225313486255,-52.357739285073194,99.05323853184258,90.23867847598115,-27370.810319064905,27370.810319064905,-59.379767834491,97.38627503688728,90.95722708005239,-26650.279100429576,26650.279100429576,-61.000522972135656,98.32515218057739
PGM,phosphoglycerate mutase,2pg[c] <=> 3pg[c],-118.424532872716,-158.603187224064,69.073630849023,-91.51445166982732,-7033.496491520109,7033.496491520109,-99.05323853190343,52.357739284373345,-90.23867847598115,-14131.361829940308,14131.361829940308,-97.38627503685383,59.37976783479226,-90.95722708005239,-13371.762163097992,13371.762163097992,-98.32515218052778,61.000522971474346
PYK,pyruvate kinase,adp[c] + h[c] + pep[c] --> atp[c] + pyr[c],115.499005509303,0.0,433.084714032889,89.0347707267909,0.0,8327.002595152035,0.0,290.0267754761236,87.79356595812196,0.0,13269.240302722872,0.0,299.1540516513201,88.4926447271273,0.0,13057.307518758078,0.0,304.27331621253
CO2tm,CO2 transport diffusion mitochondrial,co2[c] <=> co2[m],-102.458522953839,-579.540299558385,-7.039615323764,-66.45111794365319,-inf,inf,-285.61431582858654,-10.892328720677854,-62.88821141177453,-inf,inf,-350.124734018167,-10.152526419617113,-63.38897491104562,-inf,inf,-358.1874030461295,-7.039615323766428
GLCt1,glucose transport uniport ,glc_D[e] --> glc_D[c],100.0,100.0,100.0,100.0,0.0,3120.7242057984095,100.0,100.0,100.0,0.0,5119.3382164627665,100.0,100.0,100.0,0.0,8101.257637907576,100.0,100.0
EX_glc_e,D Glucose exchange,glc_D[e] <=> ,-100.0,-100.0,-100.0,-100.0,-10142.759379219999,10142.759379219999,-100.0,-100.0,-100.0,-16736.97393161397,16736.97393161397,-100.0,-100.0,-100.0,-16532.841447945095,16532.841447945095,-100.0,-100.0
HEX1,hexokinase D glucoseATP ,atp[c] + glc_D[c] --> adp[c] + g6p[c] + h[c],100.0,0.0,297.54420885676,100.0,0.0,3644.5977277351226,0.0,233.0098198989345,100.0,0.0,6345.321556953489,0.0,240.79105564068672,100.0,0.0,5886.683525955331,0.0,243.57798058582685
PYRt2m,pyruvate mitochondrial transport via proton symport,h[c] + pyr[c] <=> h[m] + pyr[m],85.3923330169,-286.161181314125,186.264199003067,60.49431148403995,-inf,inf,-154.48790466805045,106.10113049605903,59.65097997337918,-inf,inf,-226.43096491314955,101.86816629652122,60.12596618721617,-inf,inf,-230.7381253668375,104.44638878843224
EX_nh4_e,Ammonia exchange,nh4[e] <=> ,-71.380194282918,-170.879402661701,-59.06192594985,-60.50194904652273,-101427.59379219999,10142.759379219999,-124.59893857253135,-59.061925949862285,-59.65851106044964,-167369.73931613972,16736.97393161397,-124.75917967055524,-59.061925920553094,-60.1335572443429,-165328.41447945096,16532.841447945095,-134.31188783941943,-59.061925949999406
NH4t,ammonia reversible transport,nh4[e] <=> nh4[c],71.380194282918,59.06192594985,170.8794026615,60.50194904652273,-5873.063390943548,5873.063390943548,59.06192594991299,124.5989385725415,59.65851106044964,-8816.368388216975,8816.368388216975,59.06192594994322,124.75917969669838,60.1335572443429,-12902.725451219792,12902.725451219792,59.06192594996634,134.31188783943594
G3PD1irm,glycerol 3 phosphate dehydrogenase NAD mitochondrial,dhap[m] + h[m] + nadh[m] --> glyc3p[m] + nad[m],70.9252016263,0.0,141.799866162097,60.11629666583728,0.0,2376.7528053326228,0.0,94.89383162154402,59.27814174495678,0.0,4044.1550110958838,0.0,94.21559686266687,59.750253070459664,0.0,4250.097551023246,0.0,94.89143512599425
G3PDm,glycerol 3 phosphate dehydrogenase FAD mitochondrial,glyc3p[m] + nad[m] --> dhap[m] + nadh[m],70.9252016263,0.0,141.799866162096,60.11629666583728,0.0,6328.878997445695,0.0,95.42635571125712,59.27823492489585,0.0,10819.114688873902,0.0,94.21559686291793,59.750253070459664,0.0,9633.025398059688,0.0,94.89143512594465
GND,phosphogluconate dehydrogenase,6pgc[c] + nadp[c] --> co2[c] + nadph[c] + ru5p_D[c],69.058532687712,0.97770283179,253.76908323202,130.5495909503079,0.0,11383.218851298605,96.88957300211456,195.063503691514,130.95328653461232,0.0,21479.39549513679,104.17640760007278,197.82595696369944,130.18382214058238,0.0,19147.510322937615,99.76724762569165,214.03730865097282
PGL,6 phosphogluconolactonase,6pgl[c] + h2o[c] --> 6pgc[c] + h[c],69.058532687712,0.977702831791,253.769083232015,130.5495909503079,0.0,2339.7317335984694,96.88957300235798,195.06350369142274,130.95328653461232,0.0,4207.005767450488,104.17640759968782,197.82595696418483,130.18382214058238,0.0,4286.469802208725,99.76724762876677,214.0373086486913
G6PDH2,glucose 6 phosphate dehydrogenase,g6p[c] + nadp[c] --> 6pgl[c] + h[c] + nadph[c],67.876914971022,0.0,252.791380401515,129.54805017831782,0.0,3672.388888434185,95.91187017023782,194.085800859475,129.96570791663902,0.0,6752.030023491709,103.19870476841761,196.84825413202756,129.18837967476725,0.0,6309.097624950328,98.78954479675906,213.05960581517914
HCO3E,HCO3 equilibration reaction,co2[c] + h2o[c] <=> h[c] + hco3[c],67.40106775691,22.754087168043,450.738358979525,55.936277768761606,-inf,inf,22.754087167962354,271.98475214337975,57.793021442426465,-inf,inf,22.754087167988374,345.0283393182888,58.25321318583838,-inf,inf,22.754087167950036,350.274376918127
NADH2_u6m,NADH dehydrogenase mitochondrial,h[m] + nadh[m] + q6[m] --> nad[m] + q6h2[m],67.191751073516,0.0,423.569457259685,40.39617192419686,0.0,20075.157928914978,0.0,404.80546813363594,37.19658209670978,0.0,33226.742758258006,0.0,423.5694572597453,37.49267549134658,0.0,33283.75107458859,0.0,423.5694572603637
GLUDy,glutamate dehydrogenase NADP ,glu_L[c] + h2o[c] + nadp[c] <=> akg[c] + h[c] + nadph[c] + nh4[c],-54.029644127797,-400.281652962503,282.717192970533,-158.32718569143802,-14024.799104022663,14024.799104022663,-323.9244776455506,151.38488380044862,-153.24720845902002,-20124.704825111956,20124.704825111956,-327.6077486754956,166.4809774750275,-151.83162564573212,-26583.15576415092,26583.15576415092,-349.2228842545738,170.6613648933406
TPI,triose phosphate isomerase,dhap[c] <=> g3p[c],52.146134244094,-5.138319172602,79.125474294132,19.575525601894597,-19.575525601894597,19.575525601894597,12.130938196166994,19.575525601894597,17.90856210682695,-17.90856210682695,17.90856210682695,10.289302681205422,17.90856210682695,18.84743925065741,-18.84743925065741,18.84743925065741,-0.5182651078458369,18.84743925065741
PDHm,pyruvate dehydrogenase,coa[m] + nad[m] + pyr[m] --> accoa[m] + co2[m] + nadh[m],44.977160731194,0.0,178.337849682027,35.54350341408142,0.0,10874.255185649345,0.0,94.20491641978738,29.77493675875573,0.0,18104.38470182683,0.0,89.91640086964502,30.01202732293893,0.0,18271.60038302548,0.0,92.55017471299638
RPE,ribulose 5 phosphate 3 epimerase,ru5p_D[c] <=> xu5p_D[c],44.348781078117,-26.04803869708,167.780837404211,85.60041032258339,-3640.9463343586035,3640.9463343586035,35.61517194879695,128.6437843769825,85.88951282394072,-6115.355535133112,6115.355535133112,41.235043051528834,130.48541989217983,85.36528774906206,-6737.794203695545,6737.794203695545,37.764760224524835,141.29298768069845
PPA,inorganic diphosphatase,h2o[c] + ppi[c] --> h[c] + 2.0 pi[c],38.474733361031,27.379338539575,328.044088084085,50.3228810392868,0.0,9168.141630470749,30.732068970529372,231.16588151776347,51.957620481280365,0.0,16400.393385849216,30.825337187730977,244.42039998955914,51.38286625884952,0.0,15771.338770852746,30.03250455802734,248.81397009696084
PFK,phosphofructokinase,atp[c] + f6p[c] --> adp[c] + fdp[c] + h[c],30.823684852007,0.0,364.59038817205,0.0,0.0,2200.2687921341944,0.0,220.40034021601912,0.0,0.0,3949.591108382265,0.0,230.40523033031522,0.0,0.0,3516.866032806881,0.0,235.5244948943462
FBA,fructose bisphosphate aldolase,fdp[c] <=> dhap[c] + g3p[c],30.823684852007,-296.316313285907,80.435559059256,0.0,-12482.085402443301,12482.085402443301,-199.51472984831548,40.85684593068847,0.0,-22242.266766939756,22242.266766939756,-211.18658345841075,38.63810282215644,0.0,-22049.685310709894,22049.685310709894,-215.36697087700432,39.96138340685532
ACCOACr,acetyl CoA carboxylase reversible reaction,accoa[c] + atp[c] + hco3[c] <=> adp[c] + h[c] + malcoa[c] + pi[c],25.440091494223,21.04982782811,100.283124847188,21.563055896811402,-7007.531027509305,7007.531027509305,21.049827828051132,86.98960764637548,21.262452351572282,-10462.282404651893,10462.282404651893,21.049827828051704,85.3636058387438,21.431760076942137,-12059.715865789072,12059.715865789072,21.049827828133623,86.77428020973478
RPI,ribose 5 phosphate isomerase,r5p[c] <=> ru5p_D[c],-24.709751609596,-85.988245827923,-1.72445236106,-44.949180627724516,-1310.2416566076395,1310.2416566076395,-68.71898845898436,-41.30316548961261,-45.06377371065486,-2136.139982891891,2136.139982891891,-70.56062397396462,-43.52190859812458,-44.81853439152031,-2665.7553550666676,2665.7553550666676,-81.36819176287743,-42.1986280136538
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],23.538737175305,0.0,414.292220177787,22.9734683982546,0.0,2221.974297205725,0.0,240.6465027808349,22.653202750423713,0.0,4186.586659253919,0.0,308.58220051144957,22.833584682955646,0.0,3709.142978846482,0.0,313.82823810927897
CSm,citrate synthase,accoa[m] + h2o[m] + oaa[m] --> cit[m] + coa[m] + h[m],23.163782944696,0.0,318.39155157615,21.56286143681618,0.0,9507.619786893243,0.0,209.23199627840836,13.063306829935808,0.0,16226.328856960428,0.0,202.24783799557596,13.167326758482933,0.0,15810.686933498853,0.0,206.90211995196475
PFK_3,phosphofructokinase s7p ,atp[c] + s7p[c] --> adp[c] + h[c] + s17bp[c],22.905772379911,0.0,364.590388172593,36.77586367668395,0.0,2200.2687921341944,0.0,220.40034021482228,36.91603580480081,0.0,3949.591108382265,0.0,230.40523032937796,37.01778473893016,0.0,3516.866032806881,0.0,235.52449489237878
TKT1,transketolase,r5p[c] + xu5p_D[c] <=> g3p[c] + s7p[c],22.905772379911,-12.418854000371,84.495584050277,43.42012539705841,-5270.380628630296,5270.380628630296,18.412751322354676,64.92705753694445,43.55603454143516,-9615.22415397291,9615.22415397291,21.222686873765362,65.84787529423313,43.29878946276231,-8225.749934010602,8225.749934010602,19.487545459989192,71.25165918867945
FBA3,Sedoheptulose 1 7 bisphosphate D glyceraldehyde 3 phosphate lyase,s17bp[c] <=> dhap[c] + e4p[c],22.905772379911,0.0,364.59038817175,36.77586367668395,-12482.085402443301,12482.085402443301,0.0,220.40034021486284,36.91603580480081,-22242.266766939756,22242.266766939756,0.0,230.40523033016458,37.01778473893016,-22049.685310709894,22049.685310709894,0.0,235.52449489327154
ASPTA,aspartate transaminase,akg[c] + asp_L[c] <=> glu_L[c] + oaa[c],-22.83652251582,-1000.0,-9.816047273307,-21.503046278237647,-6463.879124783113,6463.879124783113,-1308.6265066041583,-9.816047273299876,-21.20327930673205,-9888.37156853685,9888.37156853685,-1800.993216687432,-10.73264455297156,-21.372115852250953,-13777.478092230567,13777.478092230567,-1950.4046580145061,-9.816047273261654
TKT2,transketolase,e4p[c] + xu5p_D[c] <=> f6p[c] + g3p[c],21.443008698205,-19.050889518369,83.285253353914,42.180284925535126,-5270.380628630296,5270.380628630296,17.202420626198844,63.71672684038291,42.33347828250556,-9615.22415397291,9615.22415397291,20.01235617796432,64.63754459769567,42.06649828629977,-8225.749934010602,8225.749934010602,18.277214763708997,70.04132849248191
ACONTm,Aconitate hydratase,cit[m] <=> icit[m],21.246162069009,-989.485059451046,1000.0,10.771311417365046,-9912.417313717913,9912.417313717913,-1958.1611257522131,1976.120653706908,10.621152069657903,-16695.968345481517,16695.968345481517,-3854.1903569720653,3872.3245569748374,10.705725715024277,-14926.17991603379,14926.17991603379,-3350.710976255032,3380.5916211623135
ICDHym,Isocitrate dehydrogenase NADP ,icit[m] + nadp[m] --> akg[m] + co2[m] + nadph[m],21.246162069009,0.0,85.084966759917,10.771311417365046,0.0,6766.437637065246,0.0,17.959527954643985,10.621152069657903,0.0,12037.733760834717,0.0,18.134199974486613,10.705725715024277,0.0,11187.112494166528,0.0,29.880644907297526
PGI,glucose 6 phosphate isomerase,g6p[c] <=> f6p[c],20.865772267139,-162.105989017319,90.685391383235,-39.08976367434478,-7505.439085435215,7505.439085435215,-103.40040947417015,-5.226478785703827,-39.37440348912589,-13092.497858005028,13092.497858005028,-106.16286274888648,-12.513313384975264,-38.67199439734717,-12736.735723082422,12736.735723082422,-122.37421443163434,-8.104153413164687
DHAD1m,dihydroxy acid dehydratase 2 3 dihydroxy 3 methylbutanoate mitochondrial,23dhmb[m] --> 3mob[m] + h2o[m],20.626614582536,3.528219943688,81.134464397633,13.268185119495154,0.0,3216.066143963077,3.528219943684667,47.34809866613217,15.719750788659967,0.0,5348.9694988045085,3.528219943688059,45.82097107314599,15.844923332457446,0.0,5004.65643470746,3.5282199436835255,46.935260006670745
KARA1im,acetohydroxy acid isomeroreductase mitochondrial,alac_S[m] + h[m] + nadph[m] --> 23dhmb[m] + nadp[m],20.626614582536,3.528219943688,81.134464397562,13.268185119495154,0.0,10461.3434513213,3.528219943684667,47.348098666771165,15.719750788659967,0.0,19589.45639877894,3.528219943688059,45.82097107294515,15.844923332457446,0.0,18034.850093490906,3.5282199436835255,46.9352600070014
ACLSm,acetolactate synthase mitochondrial,h[m] + 2.0 pyr[m] --> alac_S[m] + co2[m],20.626614582536,3.528219943688,81.134464397538,13.268185119495154,0.0,2568.0452472247116,3.52821994369481,47.34809866613217,15.719750788659967,0.0,4228.763833561586,3.528219943688059,45.82097107316273,15.844923332457446,0.0,3435.85510971195,3.5282199436835255,46.93526000645581
NDPK2,nucleoside diphosphate kinase ATPUDP ,atp[c] + udp[c] --> adp[c] + utp[c],19.13747823046,15.83487315311,315.205131932033,16.220952385376,0.0,25493.4199892943,15.834873153112866,218.40354849500255,15.994821366770058,0.0,38078.28939181494,15.8348731531047,230.07540210551278,16.122184230593284,0.0,43322.327073366374,15.834873153115357,234.25578952294552
IPPMIa,3 isopropylmalate dehydratase,3c2hmp[c] <=> 2ippm[c] + h2o[c],-18.620969529876,-79.474938799925,-1.86869434598,-11.56819766505925,-1347.5670111231693,1347.5670111231693,-45.688573069082366,-1.8686943459755812,-14.043462306119388,-2215.97534854569,2215.97534854569,-44.16144547554848,-1.8686943459733873,-14.15528697333892,-2055.1975203940547,2055.1975203940547,-45.27573440921525,-1.8686943459800323
OMCDC,2 Oxo 4 methyl 3 carboxypentanoate decarboxylation,3c4mop[c] + h[c] --> 4mop[c] + co2[c],18.620969529876,1.86869434598,79.474938799932,11.56819766505925,0.0,1132.6419398774974,1.8686943459755812,45.688573069031655,14.043462306119388,0.0,2154.0485449987177,1.8686943459733873,44.16144547549827,14.15528697333892,0.0,1835.9720427943028,1.8686943459800323,45.27573440900032
IPMD,3 isopropylmalate dehydrogenase,3c2hmp[c] + nad[c] --> 3c4mop[c] + h[c] + nadh[c],18.620969529876,1.86869434598,79.474938799925,11.56819766505925,0.0,inf,1.8686943459755812,45.68857306907223,14.043462306119388,0.0,inf,1.8686943459733873,44.16144547549827,14.15528697333892,0.0,inf,1.8686943459800323,45.27573440916565
3C3HMPtm,2 Isopropylmalate transport diffusion mitochondrial,3c3hmp[c] <=> 3c3hmp[m],-18.620969529876,-77.626684409199,-0.0,-11.56819766505925,-inf,inf,-44.87992575799339,-0.0,-14.043462306119388,-inf,inf,-43.328210655367535,-0.0,-14.15528697333892,-inf,inf,-44.42147526863295,-0.0
IPPMIb,2 isopropylmalate hydratase,2ippm[c] + h2o[c] <=> 3c3hmp[c],-18.620969529876,-79.474938799924,-1.86869434598,-11.56819766505925,-1347.5670111231693,1347.5670111231693,-45.688573069031655,-1.8686943459755812,-14.043462306119388,-2215.97534854569,2215.97534854569,-44.16144547554848,-1.8686943459733873,-14.15528697333892,-2055.1975203940547,2055.1975203940547,-45.275734408735794,-1.8686943459800323
IPPSm,2 isopropylmalate synthase mitochondrial,3mob[m] + accoa[m] + h2o[m] --> 3c3hmp[m] + coa[m] + h[m],18.620969529876,0.0,77.626684409168,11.56819766505925,0.0,1568.8820207777496,0.0,44.87992575795282,14.043462306119388,0.0,3212.996885651934,0.0,43.3282106552169,14.15528697333892,0.0,2568.046262109312,0.0,44.421475269476126
GLNS,glutamine synthetase,atp[c] + glu_L[c] + nh4[c] --> adp[c] + gln_L[c] + h[c] + pi[c],18.104710530876,14.980332898513,342.403131852164,15.345577089501713,0.0,211.07082268156816,14.980332898478164,211.07082268156816,15.131649392423137,0.0,335.9110668074924,14.980332898523008,226.1669163563145,15.252139028711763,0.0,465.5648151741339,14.980332898380512,230.34730377584776
MCCC,3-methylcrotonyl-coa carboxylase,3mb2coa[c] + atp[c] + hco3[c] --> 3mgcoa[c] + adp[c] + h[c] + pi[c],16.362530386109,0.0,77.606244453893,9.653941597721513,0.0,88.24200659921398,0.0,43.819878722772074,12.155892259682808,0.0,205.53003988021956,0.0,42.29275112932404,12.252686666698157,0.0,249.14992062053258,0.0,43.407040063235215
LEUDH,2-Oxoisovalerate dehydrogenase,4mop[c] + coa[c] + nad[c] --> co2[c] + ivcoa[c] + nadh[c],16.362530386109,0.0,77.60624445397,9.653941597721513,0.0,150.01141121866377,0.0,43.81987872295464,12.155892259682808,0.0,349.9701249100481,0.0,42.292751129307305,12.252686666698157,0.0,579.9720779939139,0.0,43.40704006298722
MGCH,Methylglutaconyl-coa hydratase,3mgcoa[c] + h2o[c] --> hmgcoa[c],16.362530386109,0.0,77.606244453851,9.653941597721513,0.0,inf,0.0,43.819878722822786,12.155892259682808,0.0,inf,0.0,42.29275112952488,12.252686666698157,0.0,inf,0.0,43.407040062838426
MBCOAi,isovaleryl-coa dehydrogenase,ivcoa[c] + nad[c] --> 3mb2coa[c] + h[c] + nadh[c],16.362530386109,0.0,77.606244453893,9.653941597721513,0.0,183.2796619825054,0.0,43.81987872295464,12.155892259682808,0.0,409.72112184591003,0.0,42.292751129307305,12.252686666698157,0.0,379.7593680592988,0.0,43.407040063202146
ADK1,adenylate kinase,amp[c] + atp[c] --> 2.0 adp[c],12.929253939482,0.0,306.90705940101,28.67049819307183,0.0,7532.41882538394,0.0,154.3286334434206,30.607086458153034,0.0,13947.924595649818,0.0,223.2833713054242,29.862323137527678,0.0,13324.80889338583,0.0,212.14208324032685
ACACT1,acetyl CoA C acetyltransferase,2.0 accoa[c] <=> aacoa[c] + coa[c],-12.671637832868,-74.552298960275,12.480700702175,-6.525536086599658,-841.6461732876755,841.6461732876755,-40.76593322932973,5.535474628945205,-9.071098831726099,-1630.181260939201,1630.181260939201,-39.23880563596272,5.593698635536421,-9.143329780593074,-1720.076824244208,1720.076824244208,-40.35309456933475,7.3108492159010545
HMGCOAS,Hydroxymethylglutaryl CoA synthase,coa[c] + h[c] + hmgcoa[c] <=> aacoa[c] + accoa[c] + h2o[c],12.671637832868,-12.480700702149,74.552298960268,6.525536086599658,-1841.6208204849752,1841.6208204849752,-5.535474628945205,40.76593322943116,9.071098831726099,-3349.905332412536,3349.905332412536,-5.593698635569895,39.23880563577862,9.143329780593074,-2838.0275629542552,2838.0275629542552,-7.310849215917586,40.353094569053695
ASPTAm,aspartate transaminase,akg[m] + asp_L[m] <=> glu_L[m] + oaa[m],10.973188393367,0.0,990.183952726693,9.300889297337953,-3270.228479048112,3270.228479048112,0.0,1298.8104593305745,9.171228625966236,-5803.7130805264605,5803.7130805264605,0.0,1790.2605721340085,9.244256884336115,-5434.179655525073,5434.179655525073,0.0,1940.5886107412443
ASPt2m,aspartate mitochondrial transport via proton symport,asp_L[c] + h[c] --> asp_L[m] + h[m],10.973188393367,0.0,990.183952726696,9.300889297337953,0.0,inf,0.0,1298.8104593306352,9.171228625966236,0.0,inf,0.0,1790.260572131632,9.244256884336115,0.0,inf,0.0,1940.588610739806
MDHm,malate dehydrogenase mitochondrial,mal_L[m] + nad[m] <=> h[m] + nadh[m] + oaa[m],10.484012300839,-600.315212454444,420.927971313232,0.0,-8927.149667620482,8927.149667620482,-531.5460029880225,93.63318487974254,0.0,-17957.266700967946,17957.266700967946,-517.5026498005313,381.98053218183816,0.0,-16735.534084096904,16735.534084096904,-526.8134417001639,346.0992963488223
FUMm,fumarase mitochondrial,fum[m] + h2o[m] <=> mal_L[m],10.455790660547,0.0,126.361372123765,0.0,-2981.3626919279263,2981.3626919279263,0.0,45.35681119978228,0.0,-4895.732244736402,4895.732244736402,0.0,42.23408846365815,0.0,-4985.808995456802,4985.808995456802,0.0,46.3259585709004
SUCD2_u6m,succinate dehydrogenase ubiquinone 6 mitochondrial,q6[m] + succ[m] --> fum[m] + q6h2[m],10.455790660547,0.0,126.361372123815,0.0,0.0,1594.1374916320071,0.0,45.35681120000542,0.0,0.0,2509.207131827566,0.0,42.23408846313931,0.0,0.0,2370.8094636353267,0.0,46.32595857058627
