reaction_id,reaction_name,full_reaction,Oleic Acid MFA-Constrained GSM flux,Oleic Acid MFA-Constrained GSM LB,Oleic Acid MFA-Constrained GSM UB
3DSPHR,3 Dehydrosphinganine reductase,3dsphgn[c] + h[c] + nadph[c] --> nadp[c] + sphgn[c],0.0,0.0,0.26095539154
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,3hanthrn[c] + o2[c] --> cmusa[c] + h[c],0.0,0.0,-0.0
GLCS2,glycogen synthase UDPGlc ,udpg[c] --> glycogen[c] + h[c] + udp[c],0.0,0.0,0.9133438704000001
SBTD_D2,D sorbitol dehydrogenase D fructose producing ,nad[c] + sbt_D[c] --> fru[c] + h[c] + nadh[c],0.0,0.0,-0.0
3OPHB_5tm,3 Octaprenyl 4 hydroxybenzoate mitochondrial transport,3ophb_5[c] <=> 3ophb_5[m],0.0,0.0,-0.0
4ABUTNtm,4 aminobutanal mitochondrial transport via diffusion,4abutn[c] <=> 4abutn[m],0.0,0.0,-0.0
4ABUTtm,4 aminobutanoate mitochondrial transport via diffusion,4abut[c] <=> 4abut[m],0.0,0.0,-0.0
4ABZtm,4 Aminobenzoate mitochondrial transport via diffusion,4abz[c] <=> 4abz[m],0.0,0.0,-0.0
4H2OGLTtm,4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion,4h2oglt[c] <=> 4h2oglt[m],0.0,0.0,-0.0
4H2OGLTtp,4 hydroxy 2 oxoglutarate peroxisomal transport via diffusion,4h2oglt[c] <=> 4h2oglt[x],0.0,0.0,-0.0
4HBZtm,4 Hydroxybenzoate mitochondrial transport,4hbz[c] <=> 4hbz[m],0.0,0.0,-0.0
4HPRO_LTtm,trans 4 hydroxy L proline mitochondrial transport via diffusion,4hpro_LT[c] <=> 4hpro_LT[m],0.0,0.0,-0.0
4HTHRS,4 Hydroxy L threonine synthase,h2o[c] + phthr[c] --> 4hthr[c] + pi[c],0.0,0.0,-0.0
5AOPt2,5 Aminolevulinate transport in via proton symport,5aop[e] + h[e] --> 5aop[c] + h[c],0.0,0.0,-0.0
5AOPtm,5 Aminolevulinate mitochondrial transport,5aop[c] <=> 5aop[m],0.0,0.0,-0.0
5MTHFtm,5 Methyltetrahydrofolate mitochondrial transport via diffusion,5mthf[c] <=> 5mthf[m],0.0,0.0,-0.0
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,6pgl[c] <=> 6pgl[r],-5.00159823124,-5.01181564238,-5.0005831274400006
8AONNt2,8 Amino 7 oxononanoate reversible transport via proton symport,8aonn[e] + h[e] <=> 8aonn[c] + h[c],0.0,0.0,-0.0
AABTN,4 acetamidobutyrate deacetylase,4aabutn[c] + h2o[c] --> 4abut[c] + ac[c],0.0,0.0,-0.0
AASAD1,L aminoadipate semialdehyde dehydrogenase NADPH ,L2aadp[c] + atp[c] + h[c] + nadph[c] --> L2aadp6sa[c] + amp[c] + nadp[c] + ppi[c],0.0,0.0,4.99157297378
TRE6PP,trehalose phosphatase,h2o[c] + tre6p[c] --> pi[c] + tre[c],0.15773197860000002,0.15769996596000002,0.46214792294
ABTA,4 aminobutyrate transaminase,4abut[c] + akg[c] --> glu_L[c] + sucsal[c],0.0,0.0,1.2177918279
ABTt,L arabinitol transport via passive diffusion,abt[e] <=> abt[c],0.0,0.0,-0.0
ABUTDm,Aminobutyraldehyde dehydrogenase mitochondrial,4abutn[m] + h2o[m] + nad[m] --> 4abut[m] + 2.0 h[m] + nadh[m],0.0,0.0,-0.0
ABUTt2,4 aminobutyrate transport in via proton symport,4abut[e] + h[e] --> 4abut[c] + h[c],0.0,0.0,-0.0
TRE6PS,alpha alpha trehalose phosphate synthase UDP forming ,g6p[c] + udpg[c] --> h[c] + tre6p[c] + udp[c],0.15773197860000002,0.15769996596000002,0.46214792294
ACACT1m,acetyl CoA C acetyltransferase mitochondrial,2.0 accoa[m] <=> aacoa[m] + coa[m],0.0,0.0,-0.0
ACACT4p,acetyl CoA C acetyltransferase octanoyl CoA peroxisomal,3odcoa[x] + coa[x] --> accoa[x] + occoa[x],0.0,0.0,0.03414369611
ACACT5p,acetyl CoA C acyltransferase decanoyl CoA peroxisomal,3oddcoa[x] + coa[x] --> accoa[x] + dcacoa[x],0.0,0.0,0.03414369611
ACACT6p,acetyl CoA C acetyltransferase dodecanoyl peroxisomal,3otdcoa[x] + coa[x] --> accoa[x] + ddcacoa[x],0.0,0.0,0.03414369611
ACACT7p,acetyl CoA acyltransferase tetradecanoyl CoA peroxisomal,3ohdcoa[x] + coa[x] --> accoa[x] + tdcoa[x],0.0,0.0,0.02958198772
ACACT8p,acetyl CoA acyltransferase hexadecanoyl CoA peroxisomal,3ohodcoa[x] + coa[x] --> accoa[x] + pmtcoa[x],0.0,0.0,0.02609553917
ACACT9p,acetyl CoA acyltransferase tetracosanoyl CoA peroxisomal,3ohxccoa[x] + coa[x] --> accoa[x] + ttccoa[x],0.0,0.0,-0.0
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],12.86110064804,9.08729168035,13.958458991939999
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa[c] + gam6p[c] <=> acgam6p[c] + coa[c] + h[c],19.96647952165,19.962427207090002,19.96647952165
ACGAMPM,phosphoacetylglucosamine mutase,acgam6p[c] <=> acgam1p[c],19.96647952165,19.962427207090002,19.96647952165
ACGKm,acetylglutamate kinase mitochondrial,acglu[m] + atp[m] --> acg5p[m] + adp[m],2.27312917653,2.27266783158,3.4904596594800004
ACGSm,N acteylglutamate synthase mitochondrial,accoa[m] + glu_L[m] --> acglu[m] + coa[m] + h[m],0.0,0.0,-0.0
ACOTAim,acteylornithine transaminase irreversible mitochondrial,acg5sa[m] + glu_L[m] --> acorn[m] + akg[m],2.27312917653,2.27266783158,3.4904596594800004
AGPRim,N acetyl g glutamyl phosphate reductase irreversible mitochondrial,acg5p[m] + h[m] + nadph[m] --> acg5sa[m] + nadp[m] + pi[m],2.27312917653,2.27266783158,3.4904596594800004
ACOAH,acetyl CoA hydrolase,accoa[c] + h2o[c] --> ac[c] + coa[c] + h[c],0.0,0.0,-0.0
ACOAO4p,acyl CoA oxidase decanoyl CoA peroxisomal,dcacoa[x] + o2[x] --> dc2coa[x] + h2o2[x],0.0,0.0,0.03414369611
ACOAO5p,acyl CoA oxidase dodecanoyl CoA peroxisomal,ddcacoa[x] + o2[x] --> dd2coa[x] + h2o2[x],0.0,0.0,0.03414369611
ACOAO6p,acyl CpA oxidase tetradecanoyl CoA peroxisomal,o2[x] + tdcoa[x] --> h2o2[x] + td2coa[x],0.0,0.0,0.03414369611
ACOAO7p,acyl CoA oxidase hexadecanoyl CoA peroxisomal,o2[x] + pmtcoa[x] --> h2o2[x] + hdd2coa[x],0.0,0.0,0.02958198772
ACOAO8p,acyl CoA oxidase octadecanoyl CoA peroxisomal,o2[x] + stcoa[x] --> h2o2[x] + od2coa[x],0.0,0.0,0.02609553917
ACOAO9p,acyl CoA oxidase hexacanoyl CoA peroxisomal,hexccoa[x] + o2[x] --> h2o2[x] + hxc2coa[x],0.0,0.0,-0.0
ACOATA,Acetyl CoA ACP transacylase,ACP[c] + accoa[c] <=> acACP[c] + coa[c],0.0,0.0,-0.0
ACOATAm,Acetyl CoA ACP transacylase,ACP[m] + accoa[m] <=> acACP[m] + coa[m],0.0,0.0,-0.0
ACONT,aconitase,cit[c] <=> icit[c],391.04549483558003,367.09418842733,424.31803229773004
ACONTm,Aconitate hydratase,cit[m] <=> icit[m],52.13887700443,18.9638,75.2743
ARGSL,argininosuccinate lyase,argsuc[c] <=> arg_L[c] + fum[c],2.27312917653,2.27266783158,2.4553366056600003
ACP1e,acid phosphatase extracellular secreted ,fmn[e] + h2o[e] --> pi[e] + ribflv[e],0.0,0.0,-0.0
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,acrn[c] --> acrn[m],0.0,0.0,499.15052443818
ACRNtp,acetylcarnitine transport out of peroxisome,acrn[x] --> acrn[c],0.0,0.0,499.15052443818
ARGSSr,argininosuccinate synthase reversible,asp_L[c] + atp[c] + citr_L[c] <=> amp[c] + argsuc[c] + h[c] + ppi[c],2.27312917653,2.27266783158,2.4553366056600003
ACSm,acetyl CoA synthetase,ac[m] + atp[m] + coa[m] --> accoa[m] + amp[m] + ppi[m],0.0,0.0,0.7306750963199999
ACSp,acetyl CoA synthetase,ac[x] + atp[x] + coa[x] --> accoa[x] + amp[x] + ppi[x],0.0,0.0,-0.0
ACt2r,acetate reversible transport via proton symport,ac[e] + h[e] <=> ac[c] + h[c],0.0,-0.22141669767,-0.0
ACtm,acetate transport mitochondrial,ac[c] <=> ac[m],0.0,-0.6642500930099999,0.73067510232
ACtp,acetate transport peroxisomal,ac[c] <=> ac[x],0.0,0.0,-0.0
ADCL,4 aminobenzoate synthase,4adcho[c] --> 4abz[c] + h[c] + pyr[c],0.0,0.0,-0.0
ADCS,4 amino 4 deoxychorismate synthase,chor[c] + gln_L[c] --> 4adcho[c] + glu_L[c],0.0,0.0,-0.0
ADEt2,adenine transport in via proton symport,ade[e] + h[e] --> ade[c] + h[c],0.0,0.0,-0.0
ADEtm,adenine reversible transport mitochondria,ade[c] <=> ade[m],0.0,0.0,-0.0
ADHAPR_SC,acyldihydroxyacetonephosphate reductase yeast specific,0.01 1agly3p_SC[c] + h[c] + nadph[c] --> 0.01 1ag3p_SC[c] + nadp[c],4.07330857854,0.0,5.431283256
ADK1,adenylate kinase,amp[c] + atp[c] --> 2.0 adp[c],128.54956957856,0.0,129.45711915324
ADK1m,adenylate kinase mitochondrial,amp[m] + atp[m] <=> 2.0 adp[m],0.0,0.0,0.73067510232
ADK3,adentylate kinase GTP ,amp[c] + gtp[c] --> adp[c] + gdp[c],0.0,0.0,129.45711915324
ADK3m,adentylate kinase GTP ,amp[m] + gtp[m] <=> adp[m] + gdp[m],0.0,0.0,-0.0
ADK4,adentylate kinase ITP ,amp[c] + itp[c] --> adp[c] + idp[c],0.0,0.0,129.45711915324
ADK4m,adentylate kinase ITP mitochondrial,amp[m] + itp[m] <=> adp[m] + idp[m],0.0,0.0,-0.0
ADMDC,adenosylmethionine decarboxylase,amet[c] + h[c] --> ametam[c] + co2[c],0.0,0.0,-0.0
ADNCYC,adenylate cyclase,atp[c] --> camp[c] + ppi[c],0.0,0.0,0.45667193895
ADNK1,adenosine kinase,adn[c] + atp[c] --> adp[c] + amp[c] + h[c],9.46819833574,8.55293283125,10.37962058704
ADNUC,adenosine hydrolase,adn[c] + h2o[c] --> ade[c] + rib_D[c],0.0,0.0,0.9133438778899999
ADNt2,adenosine transport in via proton symport,adn[e] + h[e] --> adn[c] + h[c],0.0,0.0,-0.0
ADPT,adenine phosphoribosyltransferase,ade[c] + prpp[c] --> amp[c] + ppi[c],0.0,0.0,0.9133438778899999
CBPS,carbamoyl phosphate synthase glutamine hydrolysing ,2.0 atp[c] + gln_L[c] + h2o[c] + hco3[c] --> 2.0 adp[c] + cbp[c] + glu_L[c] + 2.0 h[c] + pi[c],4.18447318257,4.1836239191,4.36629269468
ADSL1r,adenylsuccinate lyase,dcamp[c] <=> amp[c] + fum[c],1.88814860426,1.8877653933899998,2.80110927128
ADSL2r,adenylosuccinate lyase,25aics[c] <=> aicar[c] + fum[c],1.75033384007,1.7499785995100001,1.8045065922199999
ADSS,adenylosuccinate synthase,asp_L[c] + gtp[c] + imp[c] --> dcamp[c] + gdp[c] + 2.0 h[c] + pi[c],1.88814860426,1.8877653933899998,2.80110927128
G5SADr,L glutamate 5 semialdehyde dehydratase reversible,glu5sa[c] <=> 1pyr5c[c] + h2o[c] + h[c],3.73605142111,3.73529316748,7.38866867906
G5SD2,glutamate 5 semialdehyde dehydrogenase,glu5p[c] + h[c] + nadh[c] --> glu5sa[c] + nad[c] + pi[c],3.73605142111,0.0,7.38866867906
AGT,alanine glyoxylate transaminase,ala_L[c] + glx[c] <=> gly[c] + pyr[c],36.27249483558,34.482647193620004,37.3241614804
AHCYStm,S adenosyl L homocysteine reversible transport mitochondrial,ahcys[c] <=> ahcys[m],0.0,0.0,-0.0
AHCYStn,S adenosyl L homocysteine nuclear transport,ahcys[c] <=> ahcys[n],0.0,0.0,-0.0
AHCi,adenosylhomocysteinase,ahcys[c] + h2o[c] --> adn[c] + hcys_L[c],9.46819833574,9.46627670915,9.77072466845
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,air[c] + 2.0 h[c] --> 4ahmmp[c] + gcald[c] + pi[c],0.0,0.0,-0.0
AHSERL,O acetylhomoserine thiol lyase,achms[c] + ch4s[c] --> ac[c] + h[c] + met_L[c],0.0,0.0,-0.0
GLU5K,glutamate 5 kinase,atp[c] + glu_L[c] --> adp[c] + glu5p[c],3.73605142111,2.51750133029,7.38866867906
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf[c] + aicar[c] <=> fprica[c] + thf[c],2.72576991618,2.7252167051300002,2.77974469784
AIRCr,phosphoribosylaminoimidazole carboxylase,air[c] + co2[c] <=> 5aizc[c] + h[c],1.75033384007,1.7499785995100001,1.8045065922199999
AKGDam,oxoglutarate dehydrogenase lipoamide ,akg[m] + h[m] + lpam[m] <=> co2[m] + sdhlam[m],32.32080516462,31.2691385196,33.29879158159
AKGDbm,oxoglutarate dehydrogenase dihydrolipoamide S succinyltransferase ,coa[m] + sdhlam[m] --> dhlam[m] + succoa[m],32.32080516462,31.2691385196,33.29879158159
AKGMAL,alpha ketoglutaratemalate transporter,akg[e] + mal_L[c] --> akg[c] + mal_L[e],0.0,0.0,-0.0
AKGt2n,2 oxoglutarate nuclear transport via proton symport,akg[c] + h[c] <=> akg[n] + h[n],0.0,0.0,-0.0
AKGt2r,2 oxoglutarate reversible transport via symport,akg[e] + h[e] --> akg[c] + h[c],0.0,0.0,-0.0
AKP1,alkaline phosphatase Dihydroneopterin ,ahdt[c] + 3.0 h2o[c] --> dhnpt[c] + 2.0 h[c] + 3.0 pi[c],0.0,0.0,-0.0
ALASm,5 aminolevulinate synthase,gly[m] + h[m] + succoa[m] --> 5aop[m] + co2[m] + coa[m],0.0,0.0,-0.0
ALATA_L,L alanine transaminase,akg[c] + ala_L[c] <=> glu_L[c] + pyr[c],-46.554171249170004,-47.60375116724,-44.76223688045
ALATA_Lm,L alanine transaminase mitochondrial,akg[m] + ala_L[m] <=> glu_L[m] + pyr[m],0.0,0.0,-0.0
ALATRS,Alanyl tRNA synthetase,ala_L[c] + atp[c] + trnaala[c] --> alatrna[c] + amp[c] + ppi[c],0.0,0.0,-0.0
ALAt2r,L alanine reversible transport via proton symport,ala_L[e] + h[e] <=> ala_L[c] + h[c],0.0,-0.11070834884,-0.0
ALCD19y,alcohol dehydrogenase glycerol NADP ,glyald[c] + h[c] + nadph[c] --> glyc[c] + nadp[c],0.0,0.0,-0.0
ALCD2m,alcohol dehydrogenase ethanol mitochondrial,etoh[m] + nad[m] <=> acald[m] + h[m] + nadh[m],0.0,0.0,0.6642500930099999
ALCD2x,alcohol dehydrogenase ethanol ,etoh[c] + nad[c] <=> acald[c] + h[c] + nadh[c],0.0,-0.6642500930099999,-0.0
ALDD19x,aldehyde dehydrogenase phenylacetaldehyde NAD ,h2o[c] + nad[c] + pacald[c] --> 2.0 h[c] + nadh[c] + pac[c],0.0,0.0,-0.0
ALDD20xm,aldehyde dehydrogenase indole 3 acetaldehyde NAD mitochondrial,h2o[m] + id3acald[m] + nad[m] --> 2.0 h[m] + ind3ac[m] + nadh[m],0.0,0.0,-0.0
ALDD20y,aldehyde dehydrogenase indole 3 acetaldehyde NADP ,h2o[c] + id3acald[c] + nadp[c] --> 2.0 h[c] + ind3ac[c] + nadph[c],0.0,0.0,-0.0
ALDD20ym,aldehyde dehydrogenase indole 3 acetaldehyde NADP mitochondrial,h2o[m] + id3acald[m] + nadp[m] --> 2.0 h[m] + ind3ac[m] + nadph[m],0.0,0.0,-0.0
ALDD2xm,aldehyde dehydrogenase acetylaldehyde NAD mitochondrial,acald[m] + h2o[m] + nad[m] --> ac[m] + 2.0 h[m] + nadh[m],0.0,0.0,0.42980888043
ALDD2y,aldehyde dehydrogenase acetaldehyde NADP ,acald[c] + h2o[c] + nad[c] --> ac[c] + 2.0 h[c] + nadh[c],0.0,0.0,0.48711673116
ALDD2ym,aldehyde dehydrogenase acetylaldehyde NADP mitochondrial,acald[m] + h2o[m] + nadp[m] --> ac[m] + 2.0 h[m] + nadph[m],0.0,0.0,0.66425008794
ALLTAHr,Allantoate amidinohydrolase reversible,alltt[c] + h2o[c] <=> urdglyc[c] + urea[c],0.0,0.0,-0.0
ALLTNr,allantoinase reversible reaction,alltn[c] + h2o[c] <=> alltt[c] + h[c],0.0,0.0,-0.0
ALLTNti,allantoin irreversible uniport,alltn[e] --> alltn[c],0.0,0.0,-0.0
ALLTTti,allantoate irreversible uniport,alltt[e] --> alltt[c],0.0,0.0,-0.0
ALPHNH,allophanate hydrolase,allphn[c] + h2o[c] + 3.0 h[c] --> 2.0 co2[c] + 2.0 nh4[c],0.0,0.0,0.15222397849
AM6SAD,aminomuconate semialdehyde dehydrogenase,am6sa[c] + h2o[c] + nad[c] --> amuco[c] + 2.0 h[c] + nadh[c],0.0,0.0,-0.0
AMAOTr,adenosylmethionine 8 amino 7 oxononanoate transaminase,8aonn[c] + amet[c] <=> amob[c] + dann[c],0.0,0.0,-0.0
AMETt2,S adenosyl L methionine transport in via proton symport,amet[e] + h[e] --> amet[c] + h[c],0.0,0.0,-0.0
AMETtm,S Adenosyl L methionine reversible transport mitochondrial,amet[c] <=> amet[m],0.0,0.0,-0.0
AMETtn,S adenosyl L methionine nuclear transport,amet[c] <=> amet[n],0.0,0.0,-0.0
AMID,amidase,4gudbd[c] + h2o[c] --> 4gudbutn[c] + nh4[c],0.0,0.0,-0.0
AMID2,amidase,h2o[c] + pad[c] --> nh4[c] + pac[c],0.0,0.0,-0.0
AMID3,amidase,h2o[c] + iad[c] --> ind3ac[c] + nh4[c],0.0,0.0,-0.0
AMPDA,Adenosine monophosphate deaminase,amp[c] + h2o[c] + h[c] --> imp[c] + nh4[c],0.0,0.0,0.9133438709199999
AMPN,AMP nucleosidase,amp[c] + h2o[c] --> ade[c] + r5p[c],0.0,0.0,0.9133438709199999
OCBTi,ornithine carbamoyltransferase irreversible,cbp[c] + orn[c] --> citr_L[c] + h[c] + pi[c],2.27312917653,2.27266783158,2.45533660577
ORNTACim,ornithine transacetylase irreversible mitochondrial,acorn[m] + glu_L[m] --> acglu[m] + orn[m],2.27312917653,2.27266783158,3.4904596594800004
AP4AHr,Ap4A hydrolase reversible,ap4a[c] + h2o[c] <=> 2.0 adp[c] + 2.0 h[c],0.0,0.0,0.9133438709199999
APRAUR,5 amino 6 5 phosphoribosylamino uracil reductase,5apru[c] + h[c] + nadph[c] --> 5aprbu[c] + nadp[c],0.0,0.0,-0.0
APRTO2,N acetylputrescine oxygen oxireductase deaminating ,aprut[c] + h2o[c] + o2[c] --> h2o2[c] + n4abutn[c] + nh4[c],0.0,0.0,-0.0
ARAB1D1,D arabinose 1 dehydrogenase NAD ,arab_D[c] + nad[c] --> Dara14lac[c] + h[c] + nadh[c],0.0,0.0,-0.0
ARAB1D2,D arabinose 1 dehydrogenase NADP ,arab_D[c] + nadp[c] --> Dara14lac[c] + h[c] + nadph[c],0.0,0.0,-0.0
ARABR,arabinose reductase,arab_L[c] + h[c] + nadph[c] --> abt[c] + nadp[c],0.0,0.0,-0.0
ARAB_Dt,D arabinose reversible transport,arab_D[e] <=> arab_D[c],0.0,0.0,-0.0
ARAB_Lt,L arabinoase extracellular transport,arab_L[e] <=> arab_L[c],0.0,0.0,-0.0
ARGN,arginase,arg_L[c] + h2o[c] --> orn[c] + urea[c],0.0,0.0,0.18266877418
P5CR,pyrroline 5 carboxylate reductase,1pyr5c[c] + 2.0 h[c] + nadph[c] --> nadp[c] + pro_L[c],3.73605142111,3.73529316748,7.38866865117
biomass_C,biomass yarrowia carbon limiting,0.943396927 13BDglcn[c] + 0.567938715 ala_L[c] + 0.055401294 amp[c] + 0.125562993 arg_L[c] + 0.186498253 asn_L[c] + 0.186531036 asp_L[c] + 23.09 atp[c] + 0.868358429 chitin[c] + 0.057210293 cmp[c] + 0.003631558 cys_L[c] + 0.010069587 damp[c] + 0.010436325 dcmp[c] + 0.009226307 dgmp[c] + 0.010353045 dtmp[c] + 0.035250723 ergst[c] + 0.24386559 gln_L[c] + 0.243904342 glu_L[c] + 0.509942819 gly[c] + 0.050870974 gmp[c] + 23.09 h2o[c] + 0.053881088 his_L[c] + 0.090566203 ile_L[c] + 0.194549622 leu_L[c] + 0.275004895 lys_L[c] + 0.235849232 mannan[c] + 0.04423181 met_L[c] + 5.8e-05 pa_SC[c] + 0.000346485 pc_SC[c] + 0.000236765 pe_SC[c] + 0.082570645 phe_L[c] + 0.206371817 pro_L[c] + 3.5e-05 ps_SC[c] + 7.5e-05 ptd1ino_SC[c] + 0.284698809 ser_L[c] + 0.02 so4[c] + 0.210543282 thr_L[c] + 0.006859892 tre[c] + 0.000234034 triglyc_SC[c] + 0.002154449 trp_L[c] + 0.04128234 tyr_L[c] + 0.059363404 ump[c] + 0.17277308 val_L[c] + 0.003029289 zymst[c] --> 23.09 adp[c] + biomass[c] + 23.09 h[c] + 23.09 pi[c],0.0,0.0,-0.0
biomass_N,biomass yarrowia nitrogen limiting,0.257113988 13BDglcn[c] + 0.09496 ala_L[c] + 0.001432042 amp[c] + 0.018065337 arg_L[c] + 0.026287726 asn_L[c] + 0.026287726 asp_L[c] + 20.31 atp[c] + 0.236682322 chitin[c] + 0.001478116 cmp[c] + 0.000519556 cys_L[c] + 0.016513908 damp[c] + 0.017106666 dcmp[c] + 0.015134716 dgmp[c] + 0.016975477 dtmp[c] + 0.060650767 ergst[c] + 0.032192196 gln_L[c] + 0.032192196 glu_L[c] + 0.082618568 gly[c] + 0.001315238 gmp[c] + 20.31 h2o[c] + 0.007031076 his_L[c] + 0.013733758 ile_L[c] + 0.02888825 leu_L[c] + 0.031527805 lys_L[c] + 0.064278269 mannan[c] + 0.002859543 met_L[c] + 8.468939e-05 pa_SC[c] + 0.00057788053 pc_SC[c] + 0.00057788053 pe_SC[c] + 0.012013414 phe_L[c] + 0.028688078 pro_L[c] + 0.00010959803 ps_SC[c] + 0.00012553956 ptd1ino_SC[c] + 0.046748124 ser_L[c] + 0.02 so4[c] + 0.031790673 thr_L[c] + 0.001869797 tre[c] + 0.00038910587 triglyc_SC[c] + 0.000287711 trp_L[c] + 0.006237863 tyr_L[c] + 0.001533699 ump[c] + 0.025946327 val_L[c] + 0.003484382 zymst[c] --> 20.31 adp[c] + 20.31 h[c] + 20.31 pi[c],0.0,0.0,-0.0
ARGTRS,Arginyl tRNA synthetase,arg_L[c] + atp[c] + trnaarg[c] --> amp[c] + argtrna[c] + ppi[c],0.0,0.0,-0.0
ARGTRSm,Arginyl tRNA synthetase mitochondrial,arg_L[m] + atp[m] + trnaarg[m] --> amp[m] + argtrna[m] + ppi[m],0.0,0.0,-0.0
ARGt2m,arginine mitochondrial transport via proton symport,arg_L[c] + h[c] <=> arg_L[m] + h[m],0.0,0.0,-0.0
ARGt2r,L arganine reversible transport via proton symport,arg_L[e] + h[e] <=> arg_L[c] + h[c],0.0,-0.044016572090000004,-0.0
ARMT,hnRNP arginine N methyltransferase,amet[c] + his_L[c] --> NPmehis[c] + ahcys[c] + h[c],0.0,0.0,-0.0
CSm,citrate synthase,accoa[m] + h2o[m] + oaa[m] --> cit[m] + coa[m] + h[m],442.16479999999996,440.94700817209997,442.16479999999996
ASNS1,asparagine synthase glutamine hydrolysing ,asp_L[c] + atp[c] + gln_L[c] + h2o[c] --> amp[c] + asn_L[c] + glu_L[c] + h[c] + ppi[c],3.37627042919,3.37558519523,3.45169718447
ASNTRS,Asparaginyl tRNA synthetase,asn_L[c] + atp[c] + trnaasn[c] --> amp[c] + asntrna[c] + ppi[c],0.0,0.0,-0.0
ASNTRSm,asparaginyl tRNA synthetase miotchondrial,asn_L[m] + atp[m] + trnaasn[m] --> amp[m] + asntrna[m] + ppi[m],0.0,0.0,-0.0
ASNt2m,asparagine mitochondrial transport via proton transport,asn_L[c] + h[c] <=> asn_L[m] + h[m],0.0,0.0,-0.0
ASNt2r,L asparagine reversible transport via proton symport,asn_L[e] + h[e] <=> asn_L[c] + h[c],0.0,-0.07611198924,-0.0
ASP1DC,aspartate 1 decarboxylase,asp_L[c] + h[c] --> ala_B[c] + co2[c],0.0,0.0,0.02810288834
ICDHxm,Isocitrate dehydrogenase NAD ,icit[m] + nad[m] --> akg[m] + co2[m] + nadh[m],0.0,0.0,1.2177918279
ASPGLUtp,aspartate glutamate peroxisomal shuttle,asp_L[c] + glu_L[x] <=> asp_L[x] + glu_L[c],0.0,0.0,0.8118612186
ICDHym,Isocitrate dehydrogenase NADP ,icit[m] + nadp[m] --> akg[m] + co2[m] + nadph[m],52.13887700443,51.083188172599996,53.1128412191
ASPTA,aspartate transaminase,akg[c] + asp_L[c] <=> glu_L[c] + oaa[c],-37.9406257442,-10000.0,-37.01958159993
ASPTAm,aspartate transaminase,akg[m] + asp_L[m] <=> glu_L[m] + oaa[m],17.112650923049998,16.19583393888,9979.17625233895
ASPTAp,aspartate transaminase peroxisomal,akg[x] + asp_L[x] <=> glu_L[x] + oaa[x],0.0,0.0,0.8118612186
