pathway,compartment,Equation,reaction_ids,13C_mfa_flux,StdErr,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,pFBA Flux
acetate_metabolism ,cytosol,PYRcyt -> AA + CO2,PYRDC,1.9684,68.279,0.0,99.9521,0.0
acetate_metabolism ,cytosol,AA + NADH <-> ETOH,reverse_ALCD2x,0.0,0.0,0.0,0.0,0.0
acetate_metabolism ,cytosol,AA -> AC + NADH,ALDD2y,9.3468,68.1229,0.0,106.4066,0.0
acetate_metabolism ,cytosol,AC + ATP <-> ACCOAcyt,ACS or reverse_ACOAH,11.0087,68.0844,4.0156,108.0048,0.0
transport,mitochondria,OAAmit <-> OAAcyt,reverse_OAAt2m,6.6175,74118.0,-47.3891,18.5239,-7.836907809585866
glyoxylate_shunt,cytosol,0.5*ICTcyt + 0.5*ICTcyt -> 0.5*GLYOXYcyt + 0.5*GLYOXYcyt + 0.5*SUCcyt + 0.5*SUCcyt,ICL,4.3244,11.2551,,22.3372,1.5582716905360776
transport,mitochondria,SUCcyt -> SUCmit,SUCCtm,4.3244,11.2551,,22.3372,0.0
glyoxylate_shunt,cytosol,ACCOAcyt + GLYOXYcyt -> MALcyt,MALSp,4.3244,11.2551,0.0,22.3351,0.0
tca_cycle,cytosol,MALcyt -> OAAcyt + NADH,MDH,1.3353,6.1856,0.0,16.2898,0.0
transport,mitochondria,MALcyt -> MALmit,MALtm or reverse_CITtam or reverse_DICtm,2.9891,10.6052,0.0,21.925,4.222828212168099
transport,extracellular,CO2 -> CO2_EX,reverse_CO2t,278.8123,7.5809,273.5975,354.8171,167.9059082271106
biomass_formation,cytosol,0.247*ALA + 0.146*ARG + 0.1165*ASN + 0.165*ASP + 0.0305*CYS + 0.201*GLN + 0.201*GLU + 0.18*GLY + 0.0946*HIS + 0.134*ILE + 0.268*LEU + 0.213*LYS + 0.0946*MET + 0.146*PHE + 0.143*PRO + 0.171*SER + 0.186*THR + 0.0305*TRP + 0.0946*TYR + 0.061*VAL + 86.8*ATP + 0.534*G6P + 0.08*F6P + 2.02*ACCOAcyt + 0.231*P5P -> Biomass,biomass_C,13.2843,0.3138,10.1401,13.5018,11.398166174414104
energy_metabolism,cytosol,ATP -> ATP_maintenance,ATPM,2.13e-06,1.85e-08,0.0,621.0884,0.0
