pathway,compartment,Equation,reaction_ids,13C_mfa_flux,StdErr,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,pFBA Flux
tca_cycle,mitochondria,PYRmit -> ACCOAmit + CO2 + NADH,PDHm,1.95e-06,7.74e-11,0.0,88.8418,0.0
tca_cycle,mitochondria,ACCOAmit + OAAmit -> CITmit,CSm,493.7672,30.5167,53.1154,552.0542,260.2595406854938
tca_cycle,mitochondria,CITmit <-> ICTmit,ACONTm,493.7672,30.5167,53.1154,552.0542,4.419470746759414
transport,mitochondria,ICTmit -> ICTcyt,CITtcm,373.4615,28.055,0.0,486.4347,0.0
tca_cycle,mitochondria,ICTmit -> AKG + CO2 + NADH,ICDHxm,120.3057,58.5718,0.0,185.5445,0.0
tca_cycle,mitochondria,ICTmit -> AKG + CO2 + NADPH,ICDHym,1e-07,7.36e-11,0.0,182.8288,4.419470746759414
tca_cycle,mitochondria,SUCmit <-> FUMmit + UQH2,SUCD2_u6m and SUCD1m,432.233,35.1393,391.0321,515.1594,0.0
tca_cycle,mitochondria,0.5*FUMmit + 0.5*FUMmit <-> 0.5*MALmit + 0.5*MALmit,FUMm,438.6381,34.6582,399.0419,514.363,754.344784802119
tca_cycle,mitochondria,MALmit <-> OAAmit + NADH,MDHm,386.7479,269.8825,268.9573,961.3295,242.6988462643105
anaplerotic,mitochondria,MALmit <-> PYRmit + CO2 + NADH,ME1m,51.8903,254.895,-110.2883,211.1569,0.0
anaplerotic,mitochondria,MALmit <-> PYRmit + CO2 + NADPH,ME2m,6.13e-09,4.59e-10,-120.0702,216.6341,13.141223674423902
anaplerotic,cytosol,PYRcyt + CO2 + ATP -> OAAcyt,PC,0.000575,3.59e-10,0.0,1450.0,224.90322681709017
anaplerotic,cytosol,OAAcyt + ATP -> PEP + CO2,PPCK,199.5318,248.388,83.5615,353.4222,154.08121255336215
acetate_metabolism ,cytosol,PYRcyt -> AA + CO2,PYRDC,1e-07,1.43e-10,0.0,88.7592,0.0
acetate_metabolism ,cytosol,AA + NADH <-> ETOH,reverse_ALCD2x,0.0,0.0,0.0,0.0,0.0
acetate_metabolism ,cytosol,AA -> AC + NADH,ALDD2y,1.85e-06,1e-10,0.0,88.7667,0.0
acetate_metabolism ,cytosol,AC + ATP <-> ACCOAcyt,ACS or reverse_ACOAH,908.464,0.6358,905.5817,995.4023,1.4154715102420212
transport,mitochondria,OAAmit <-> OAAcyt,reverse_OAAt2m,-173.9303,258.4923,-306.5492,760.0873,-17.56069442118339
glyoxylate_shunt,cytosol,0.5*ICTcyt + 0.5*ICTcyt -> 0.5*GLYOXYcyt + 0.5*GLYOXYcyt + 0.5*SUCcyt + 0.5*SUCcyt,ICL,373.4626,28.055,341.9258,487.0471,559.0472220031422
transport,mitochondria,SUCcyt -> SUCmit,SUCCtm,373.4626,28.055,341.9258,487.0471,0.0
glyoxylate_shunt,cytosol,ACCOAcyt + GLYOXYcyt -> MALcyt,MALSp,373.4626,28.055,315.0072,477.3042,-1.5512352119064662e-13
tca_cycle,cytosol,MALcyt -> OAAcyt + NADH,MDH,373.4626,28.055,0.0,476.48,1289.4031520057033
transport,mitochondria,MALcyt -> MALmit,MALtm or reverse_CITtam or reverse_DICtm,1e-07,9.93e-11,0.0,477.2919,-498.50471486338466
transport,extracellular,CO2 -> CO2_EX,reverse_CO2t,704.3751,82.3049,,791.6884,678.9074576901639
biomass_formation,cytosol,0.294*ALA + 0.174*ARG + 0.196*ASN + 0.196*ASP + 0.036*CYS + 0.239*GLN + 0.239*GLU + 0.214*GLY + 0.112*HIS + 0.159*ILE + 0.319*LEU + 0.254*LYS + 0.112*MET + 0.174*PHE + 0.17*PRO + 0.203*SER + 0.221*THR + 0.036*TRP + 0.112*TYR + 0.221*VAL -> Biomass,biomass_C,57.1889,4.2961,17.1081,,29.573169824614524
energy_metabolism,cytosol,ATP -> ATP_maintenance,ATPM,1050.0,394.4976,0.0,1510.0,0.0
