pathway,compartment,Equation,reaction_ids,13C_mfa_flux,StdErr,13C_mfa_flux_95%_lower_bound,13C_mfa_flux_95%_upper_bound,Glucose 1 Flux,Glucose 2 Flux,Glucose 3 Flux,E-Flux2 Flux,E-Flux2 Flux Std
tca_cycle,mitochondria,MALmit <-> OAAmit + NADH,MDHm,77.1081,8.0109,36.9987,101.0709,0.0,0.0,0.0,0.0,0.0
anaplerotic,mitochondria,MALmit <-> PYRmit + CO2 + NADH,ME1m,25.7706,10.3973,12.5302,71.6466,0.0,0.0,0.0,0.0,0.0
anaplerotic,mitochondria,MALmit <-> PYRmit + CO2 + NADPH,ME2m,-40.2926,4.6935,-94.4954,-27.5824,2.928562528061771,2.880557854881855,2.9075659363993016,2.905562106447643,0.024064988315684058
anaplerotic,cytosol,PYRcyt + CO2 + ATP -> OAAcyt,PC,11.7278,1.9284,1.2458,61.3845,25.016220878669955,24.606157751806162,24.836864839763063,24.819747823413064,0.20556674388108737
anaplerotic,cytosol,OAAcyt + ATP -> PEP + CO2,PPCK,2.13e-06,6.58e-11,0.0,615.3569,0.0,0.0,0.0,0.0,0.0
acetate_metabolism ,cytosol,PYRcyt -> AA + CO2,PYRDC,1.9684,68.279,0.0,99.9521,0.0,0.0,0.0,0.0,0.0
acetate_metabolism ,cytosol,AA + NADH <-> ETOH,reverse_ALCD2x,0.0,0.0,0.0,0.0,1.8185327623390568,1.7887235743548826,1.8054946286234972,1.8042503217724788,0.01494349847671479
acetate_metabolism ,cytosol,AA -> AC + NADH,ALDD2y,9.3468,68.1229,0.0,106.4066,0.0,0.0,0.0,0.0,0.0
acetate_metabolism ,cytosol,AC + ATP <-> ACCOAcyt,ACS or reverse_ACOAH,11.0087,68.0844,4.0156,108.0048,2.3159318013361556,2.2779693032969073,2.29932752060652,2.297742875079861,0.019030794529626287
transport,mitochondria,OAAmit <-> OAAcyt,reverse_OAAt2m,6.6175,74118.0,-47.3891,18.5239,-4.481571886715734,-4.408110455828612,-4.449440855191054,-4.4463743992451334,0.03682659122220071
glyoxylate_shunt,cytosol,0.5*ICTcyt + 0.5*ICTcyt -> 0.5*GLYOXYcyt + 0.5*GLYOXYcyt + 0.5*SUCcyt + 0.5*SUCcyt,ICL,4.3244,11.2551,,22.3372,0.0,0.0,0.0,0.0,0.0
transport,mitochondria,SUCcyt -> SUCmit,SUCCtm,4.3244,11.2551,,22.3372,0.0,0.0,0.0,0.0,0.0
glyoxylate_shunt,cytosol,ACCOAcyt + GLYOXYcyt -> MALcyt,MALSp,4.3244,11.2551,0.0,22.3351,0.0,0.0,0.0,0.0,0.0
tca_cycle,cytosol,MALcyt -> OAAcyt + NADH,MDH,1.3353,6.1856,0.0,16.2898,0.9215206888621825,0.9064152236130827,0.9149137636464653,0.9142832253739103,0.0075724470274019275
transport,mitochondria,MALcyt -> MALmit,MALtm or reverse_CITtam or reverse_DICtm,2.9891,10.6052,0.0,21.925,2.928562528061771,2.880557854881856,2.907565936399301,2.905562106447643,0.02406498831568358
transport,extracellular,CO2 -> CO2_EX,reverse_CO2t,278.8123,7.5809,273.5975,354.8171,184.30125176523913,185.01077396419123,184.6115871326099,184.64120428734677,0.35568710911767065
biomass_formation,cytosol,0.247*ALA + 0.146*ARG + 0.1165*ASN + 0.165*ASP + 0.0305*CYS + 0.201*GLN + 0.201*GLU + 0.18*GLY + 0.0946*HIS + 0.134*ILE + 0.268*LEU + 0.213*LYS + 0.0946*MET + 0.146*PHE + 0.143*PRO + 0.171*SER + 0.186*THR + 0.0305*TRP + 0.0946*TYR + 0.061*VAL + 86.8*ATP + 0.534*G6P + 0.08*F6P + 2.02*ACCOAcyt + 0.231*P5P -> Biomass,biomass_C,13.2843,0.3138,10.1401,13.5018,10.392060980687749,10.221715466032775,10.3175541675838,10.31044353810144,0.08539507819244345
energy_metabolism,cytosol,ATP -> ATP_maintenance,ATPM,2.13e-06,1.85e-08,0.0,621.0884,0.0,0.0,0.0,0.0,0.0
